enojed_most,enjoyed_least
the assignments have been engaging and good to develop my skills,some of the stuff to organize with my group has been tricky but thats mostly canvas
"- lecture topics: I love how they always teach new and interesting things, even when it's not directly useful formulas or coding methods like most other data science classes. I really loved the parts on Fermi estimation, the Simpson paradox, and the asynchronous lecture of choosing to watch a pre-recorded lecture from a guest
- reasonable assignment deadlines and workload",none
I have enjoyed how the lectures include the students especially when the teacher uses our answers as data to show as an example.,"I just wish that the coding was shown a bit more because as someone who took CSE 11 I know very little about pandas as I started with java. The concepts aren't too hard, but it just feels like I am behind when it comes to coding."
Group project and assignments are the things I enjoyed most. Cause I never taken a class with group projects before. This is a challenge but also an interesting thing for me.,The feedback for assignments and quizzes are a little bit slow. But anything else I feel good with this course.
"I have enjoyed learning more about. Python. Also, this is my first time using jupyterlab and it has been my favorite coding platform to use so far!","The material can get confusing at some points, and if I don't pay attention in class for a little while I feel as if I fall behind pretty quickly."
I've enjoyed the real-life application examples of the class. ,"I kinda wish the assignments didn't have hidden tests, but I understand why they do. "
"I like doing the homeworks. I think I just enjoy solving problems in general, and writing codes feel like a fun problem solving activity.","Mostly the in-person lectures, but only because 2pm is not a good time for me and I can't go to the 9am one. So, the lectures when I go in-person haven't really helped me a lot just entirely because I'm mentally gone at around that time. But watching the podcasts are helpful."
"I appreciate that this class is project-based rather than test-focused. It gives me hands-on experience, especially when working in a group and collaborating on ideas. It highlights the importance of teamwork, communication, and problem-solving, showing how discussions and meetings can lead to effective solutions.","COGS 108 has been one of the most challenging classes I’ve taken since I’m not a professional coder and have only an introductory level of coding experience. My biggest struggle with the course is that, despite putting in my best effort, I often encounter errors in assignments and discussions. When I submit my work (knowing that there are errors) I receive low scores without the opportunity to improve after submission. The grading focuses on correctness rather than completion or learning from mistakes, which I understand, but it can be discouraging. I try to attend office hours for help, but my class and work schedule sometimes make it difficult—though I recognize that this isn't the course’s fault."
The lecture. I really enjoy the way Prof Ellis explains things and her enthusiasm towards it. ,Jupyternotebook not being explained well enough. Perhaps it's because I haven't been going to all the discussion sessions. 
"I enjoy the extra practice we get manipulating dataframes, since it is very applicable to one of the other course I am taking this quarter.",Lecture is early in the morning
The assignments because they are very detailed and straightforward.,Nothing as of now.
I have enjoyed learning about the scope of data science and the possibilities data analysis can unlock and the variety of questions it can answer,This is my first upper-division class with coding in it and I have never taken a class in Python. I am not used to learning a lot of the coding on my own but this is something I can get used to. 
"I enjoyed learning a bit of every thing about data science application like pandas and plt and sns, etc. I also like the overall pace of the course.",It's more a project thing than a cogs108 course thing but finding great datasets for a good question is so hard :')
I've enjoyed collaborating with my group and generating ideas for our project. ,My least favorite component has been having to write code for graphs. 
"I don't fall asleep, that's a good sign! Everything is very well and clearly communicated.","So far so good, the labs are kind of slow but nothing too bad."
I’ve mostly enjoyed learning how to use pandas to my advantage to visualize and clean data. Even though it was kind of difficult it’s enjoyable.,"I don’t think there was anything in specific, just definitely took me some time to get accustomed to using pandas but it’s also because I’ve never used it."
Engaging lectures and largely intuitive assignments,"Nitpick- Difficulty of D4, a bit unguided assignments at times"
Getting hands on experience and learning from it.,The coding and how tedious it is. 
I really enjoy the fact that we have live code and I can see what each function does and the graphs it outputs.,"I don't have any complaints so far, I have really enjoyed the class!"
"I have enjoyed the lectures being interactive. For example, the think-pair-share and questions wider concepts such as the Fermi estimation. ","I have least liked the lectures that did not correspond to the assignments/discussion labs timing-wise. My prior experience in coding is COGS 18, and so far this has been a big step in coding for me. I am trying my best to understand, but it is harder than I expected."
Being able to apply data science to real-world scenarios. The topics we learned so far were really interesting and I enjoyed working with PANDAS and seaborn.,"The assignments can be somewhat tedious, but the workload is manageable so far. "
Learning more about pandas in python,N/A
"I really enjoyed how the topic of ethics in data science was covered fairly early in this class. When applying for college, I wanted to study Cognitive Science, mainly because of the many ethical dilemmas involved with the subject, especially in regards to data collection and social media algorithms. The ethics lectures was a great reminder for me of why I wanted to study CogSci at UCSD in the first place. ","The hardest part of COGS 108 so far has been some of the assignments, that have had either confusing or too-vague instructions, and the TAs have not always been helpful on how to debug my code. In particular, the most recent D4 lab was a little confusing, as there were a few times where I did not understand what the instructions were asking of me. However, the assignments and labs have been very helpful in gaining good practice on coding with Python, Pandas, and Seaborn, and it has been fun to get back into coding when I have not coded for so long."
"I enjoy how the lectures are really organized and the professor is well spoken, which makes it easy to follow along. Last quarter when I took COGS 18, the professor was a little hard to understand and the lectures would be scrambled, so I really appreciate the lectures that I have now.","What I like least about COGS 108 are the assignments. Some of the assignments would take me hours or days to do compared to the assignments I had in COGS 18. This is not the professors fault, its mainly due to my slow understanding of python and the course's rigor."
I like the parts were Professor Ellis codes directly in JupyterLab and then runs it so I get a direct visual understanding of how the code works and what it does.,The part I like least about this class is pacing. I would like there to be more in-depth coverage of what the code does exactly because sometimes it's confusing and hard to remember right away.
I really like the interactive lectures and the assignments also are a comprehensive review of everything that weve learned so far. ,Nothing really I like the pace and content
The in-class participation/think pair share activities and the wisdom of the crowds where we get to apply what we are learning and talk through our ideas with our classmates.,"Having to look up pandas syntax and functions in order to do what is being asked of me in the weekly lab assignments, since there isn't always a hint or direction about what to use to accomplish a certain task so I have to use trial and error."
"I enjoy going to lecture so far. They are easy to follow, engaging, and interesting to learn.",The assignments are pretty difficult to do alone. I usually need to collaborate with a friend to complete them on time but it isn't something that I should complain or worry too much about.
I like how the slideshows are organized are well on the github.,I think the least think I like about cogs 18 is how there are so many assignments.
"Discussion assignments, as they are thorough and easy enough for me to get a grasp of the coding application of what we learned in class throughout the week. It feels more like a hand-holding assignment which prepares me well for the actual assignment","Nothing in particular in terms of content, maybe I could say that I struggle to fit in with a group when it comes to doing large application projects with a team, though I know this is important for the real-world and is a good aspect of the course, it is more of a personal thing for me "
The process of choosing project topics.,Labs :(
I enjoyed the easy structure of what to do and when to do assignments as well as the availability of accessing lectures and notes.,I'd like to see the concepts we learned in class to still be retaught/referenced again in our assignments rather than just problem sets.
I've enjoyed the lectures and learning about different aspects of data science.,Nothing.
"I enjoy the hand on aspect of this course. The assignments so far are approachable and good learning experiences, and are very relevant to the content you go over during lecture. love how we are doing a collaborative project instead of an exam","The difficulty of the discussions lab. I wish tas were more willing to help you through the problems instead of pointing towards some vague lesson in lecture. More often then not, I am present in discussion, because I can't understand the lecture, and I wish discussions aided in answering questions more directly. "
"I like the discussions and assignments because it gives me an opportunity to do hands on coding, which is something that is really lacking in my ICAM classes but that I want a lot more experience with. I also like my discussion section because it's a chance for my TA to answer my coding questions (kinda like office hours time which is really helpful)","The actual project part so far has been kind of difficult for me (like writing up the project proposal). I guess I just don't feel prepared, but I might not have as much background in data science as some other people in the class so that could be making it more difficult?"
I've enjoyed working with data visualization in COGS 108. I liked transforming raw data into something that is more meaningful to look at. This allows me to present data that may look difficult to understand into something more visually pleasing.,"I found the Jupyter Notebook environment to be unreliable. I thought it was really slow and had frequent kernel issues, like getting stuck during restarts or the validation took not working correctly, so I had to exit out and try again."
"Labs and Assignments, which are easy to follow and focus on understanding the fundamentals and the tools to work with data projects.",n/a
I have liked the idea of freedom with the group projects. The assignments we do give us great practice with what we need.,I feel like the discussion assignments are very similar to the assignments.
I liked the group formation and the early project assignments. This feels like a good way to actually apply the skills we learn to a topic we are interested in; it increases motivation to learn.,"Some of the syntax for pandas and seaborn is really unintuitive and took me a while to learn, and learning it was unsatisfying in the process. "
The hands on homework and the learn by doing aspect of the class.,I feel like the lectures could include more resources for the coding parts as most of the coding feels like self taught learning for myself at least.
It is structured very well. I think the assignments and discussions on datahub are good at teaching practical skills and foundational knowledge. They're not too easy to the point where I don't improve and they're not too hard to the point where I learn nothing because I have no idea what to do. The expectations of the course are well-communicated too.,Reviewing graded work. I wish there were example answers on jupyter after grades are released rather than just scores.
"I enjoyed the lectures, the way the professor teaches and shows both the pdf slides as well as in jupyter.","I haven't particularly found the discussions very helpful, I think some of them are like you do your own work there and if you need help, ask. Kind of like office hours- "
"I have enjoyed the lectures the most. I think the lectures are engaging and interesting. For instance, by demonstrating certain data science concepts real-time through the Google Form surveys. Furthermore, the Jupyter notebooks keep things hands on, and there is a good balance between informative slides and practical ones.","I think the discussions have been a little bit lacking in content. This was based on my experience in the first discussion, because after that I did not really go because I assumed it was just extra office hours like the first discussion."
I love how we are able to interact more with one another in the class through the project. ,"It's not too bad, the workload and everything, but one thing would be that we do move at a relatively quick pace especially the pandas lecture and seaborn, but the homework and discussion helps. "
I love how it is encouraged that we engage with the teacher assistants.,I don't have any complaints. 
I have enjoyed getting to explore the platform of Jupyter Notebook and Github. I have never coded in this format and find it helpful to work with in comparison to my prior experience with PAs.,Sometimes going back and forth between discussing technical/practical applications of python and discussing theoretical/conceptual ideas of data science can get confusing and make the flow of the course a little disorienting.
I enjoyed the study of github. I've used github before but was not quite familiar with it and had many issues when collaborating with others. Now I am much clear on how to use it.,no
I really appreciate the organization of the course. It is pretty clear where to find things. I know when assignments are due. It is clear what week the notes are part of. ,"I think the speed it somewhat difficult, but I know that is just the way of the quarter system. I wish there was more detail on some of the more complex topics, but that would require another class."
I’ve liked the interactive aspect of our data being used in following classes. It makes things more personal and engaging when we’re among the data being measured.,"I think pacing wise sometime around week 3/4 we lost track of ours in alignment with our assignments which was made things a little confusing. The guest lectures were for important reasons, I think I mean more when we resumed lecturing with Professor Ellis it took a little to find our footing again."
To be quite honest. Not much. ,"I’ve already learned essentially the same material in COGS9. The assignments feel like they were made in a rush, with many typos and poor autograders. I wish the group project started earlier, because now I feel like my group has to cram for the next 5 weeks to get this whole project done. I wish the class focused more on the collaboration, My group has only met once and it’s week 5? We are all busy, so cramming this project in the next couple weeks is going to be difficult. It would be a lot easier if the proposal was due week 3 or something."
The freedom of picking a project and working collaboratively as a team.,Nothing :)
The flexibility of the class and how there is 7 late passes because I need them with all the issues I have been going through,"The due dates that are all on sunday, I like if it was due on Friday's. However, I don't really have a struggle with this."
I’ve enjoyed how COGS 108 combines practical coding skills with real-world data analysis challenges. Working on projects that require critical thinking and teamwork has been especially rewarding.,"The most challenging part of COGS 108 has been the steep learning curve for certain tools or datahub probelms, especially when documentation isn't straightforward. It can feel overwhelming at times to balance debugging with meeting project deadlines."
"Probably the sections/labs, I got to meet a new group of people and not only does that allow me to have help on any work, but also a genuine new group of people to talk to.","Probably some of the length of the assignments, I feel like after I complete one part, there's much more to do after."
"So far, I enjoy the assignments and real-world data analysis although it is challenging it has made me become incredibly engaged with the content and course itself. ",I have found the heavy workload and challenging coordination in group projects can be demanding. I also personally do not like that assignments and labs are assigned at the same time but I do understand that the course is structured in a certain way. 
"The use of one the most important libraries in Python, Pandas.",I do not like Jupiter Notebooks. It takes way to long to load assignments and the delay is horrible.
I have enjoyed the quizzes as I feel they are practical and good checkpoints for our understanding.,I have not enjoyed having both an assignment and discussion lab I feel like in the long run one of them should be reconsidered or combined in one because it feels a little overwhelming to have three assignments or more due every week. 
I've enjoyed learning pandas basics.,Trying to get the group project moving when a lot of the members have exams from other classes has been kind of hard.
I enjoy the problem solving aspect of the class. It is always so satisfying to run code and not see any red underneath!,"I found it a little out of my comfort zone to find a group in a class that I didn't know anybody. I would say it was a good experience though. And similarly, the 9 am lecture is a little early for me, but I also appreciate getting my day started earlier and have been really good about attending lecture and adjusting my schedule. I have had early classes in the past, but haven't been as good about regularly attending."
"I enjoyed using pandas and coding overall in python, and the group work at times. My favorite part is learning how to use pandas and applying it to the project.","My group hasn't been very active on the chat except for one person, so the problem I'd say with COGS 108 is when choosing partners. Overall, it's a great class, but the thing is that when choosing your group, it can be tough to work with people who don't incorporate themselves."
"What I enjoy the most about cogs 108 so far is creating different types of plots, gives more creativity","what I least like about Cogs 108 is sometimes the use of data hub. This is a personal opinion based on my experiences so far but every time I need to run the cells or compile them the website takes forever to load, sometimes not even loading. I would have to refresh multiple times to have the cells run and its quite a hassle."
"The lectures, help me learned about data and data analyzing in a really fun way.","I would say discussions and assignments are sometime a little time consuming, but overall nothing I really dislike."
The quality lectures,The ambivalent test cases from the last lab that was a time sink for me (I did appreciate that it was addressed and cleared up)
"Working with a team, I just love a collaborative setting.",The lack of canvas utilization. There're too many links located densely in the home page and it can be frustrating to go through at times.
"I like how the workload is manageable. I'm taking a lot of project-based classes this quarter, so I'm often on the brink of burnout...",Coming up with a good project proposal. It's hard to find a topic that doesn't have too large of a scope and it feasible. It's also hard to find public data sets on topics I am interested in such as specific video games content.
I have enjoyed learning about the data science process and the step by step process on how to tackle a potential data science question.,"So far, I don't like the portions outside of coding like the analysis and communication parts."
I enjoy the openness of the projects and how we can choose whatever topic what we want or are interested in to perform data analysis on. ,"Sometimes, the assignment question prompts are worded confusingly/not clearly which makes it hard to know exactly what we are supposed to do, not sure if this is just a misunderstanding on my end though. "
I love the format and pace of this class. I feel that I am able to engage with the material in a meaningful way without being overwhelmed.,"The one person in my group project group who has commandeered the project and completely taken it in a different direction by being pushy and not giving anyone else a chance to think and have a say for themselves, or ask others what they would like to do with the project, or give a democratic vote to the direction we take."
"how easy to follow along the lectures are. they're pretty descriptive, but not too where youre feeling overwhelmed. i've honestly stopped attending lectures, because the slides and podcasts are very easy to follow.","the group project aspect. i feel that no matter what group youre in, there will be 1 to 2 people in your group that give little to no effort, suck at communicating, etc."
Learning about stats and pandas,"I like it overall, but it is sometimes hard to understand the content (pandas) because I'm new to those and a transfer/international student. "
I actually really enjoy the lectures and the content. A lot of it is topics I've learned in previous classes but it was nice to get a refresher and I still enjoy coding and data science. I also like the fact that Google Forms are regularly used to involve the class.,"I'm generally fine with how the course is run overall. If I had to pick something I like the least, I guess I would say it is the weekly quizzes we have. It feels a little unnecessary for me since I regularly attend lecture and am committed to actually learning everything."
"I have enjoyed learning more about python as I aim to grow my skills and become more proficient in the coding language, as well as gain an understanding of using it in data science, which is new to me. I have also liked meeting my team and collaborating on what we liked and didn't like from previous projects so that we could potentially incorporate ideas from them that we found interesting. ","I feel like the homework is slightly challenging which is good and the pacing of learning new content is manageable, although sometimes the work load for some weeks can be a lot more than others. This allows me to practice time management to be able to finish everything on time."
"For the project part, we have the opportunity to review previous work and discuss with our group mates, which is interesting and great.","""I don't like the lab work and the assignments because the tests are not really useful. I don't think we really need the lab session with the test, and I don't think the lab should be doing that. I believe we should have the chance to test the code by ourselves, and the test should only serve as a reference."
Learning about pandas and how to extract data from datasets: specifically about cleaning and organizing data because that’s useful for my research. ,Lots of assignments that I have to keep track of every week - they all have the same deadline but it feels like more pressure because there’s something due every week. 
"I really have enjoyed the lecturing style of the professor and I like the datahub. It makes it nice that there is an area where all of the lecture, discussion, and assignment material is which helps me stay organized in this course.",I personally haven't enjoyed how much python has been covered but that is because for me I have already done most of this so it's review that isn't super useful yet. I understand though that I am not the majority so I don't see this as an issue it's just what I enjoy the least.
"Learning about Pandas, and other libraries ","Learning about Pandas, and other libraries "
"The project based class, I wanted to get more experience with Github and Git in general so I believe that the class has provided me with a 'foot in the door'.","One thing I liked lesat about the class was the group making, I tried making groups and messaging people only to find out that they didn't choose me to be in the group and I had to find out myself through messaging them. Now I'm in a group that I didn't choose and I'm just going with the flow."
"i like being able to work on our own project, applying the skills i have gained from other classes in a creative and interesting way","i'm not really into all the python review for the class. it feels like a lot of busy work and not the best use of time in the class, especially considering a lot of other classes go into depth. we're only spending like half of the quarter/class actually working on the class, when it is a project based class? i think it would be better to be able to spend more on the actual project"
The virtual guest lecture day! It was great to hear about someone's experience in the real world.,The pace of the lectures (too slow).
"So far in COGS 108, I have most enjoyed getting to practice using python and learn how to work with data.","So far in COGS 108, I have least enjoyed coordinating group meeting times."
I enjoy how informational the lectures are,Some assignments and labs just because its hard to determine the correct answer since typically coding has to be exact.
Ive enjoyed learning how to create various graphs on datahub as it is something that i didn't get to learn in depth in COGS 18,Completing assignments that required searching up codes that we haven't learned in lecture was the part I dislike about COGS 108. It always have me questioning if my code is correct or if it is executing what the question asked for even after it passes the assert tests.
The group project,nothing 
I enjoy working through the discussion labs,"I'm finding the group assignment difficult because my group is very disorganized, but I think we are working on getting more organized now that we are starting to work on the project. "
I think I enjoy the in class live data collection.,The assignments are pretty challenging and confusing at times when the notes don’t align.
Collaborating with others to build a project because this gives real life practice and gives realistic expectations when working in a team for a company.,The past of class lectures feeling a little too slow for me.
I have really liked learning about the plotting functions within seaborn and matplotlib,I didn't like the Google forms as they sometimes closed too quickly before I could finish my responses.
I enjoy the interesting questions asked during class. It makes you think and it is kind of fun to discuss these questions with someone in class.  I feel like it helps me learn different perspectives while ,"For me, it is the assignments and labs because they take a bit of my time to finish. Maybe it is cause I came into this class knowing Java it would be nice to have some guidance/master doc explaining syntax and functions."
"I have enjoyed the most about learning, practicing, and applying methods of data tidying and analysis. I enjoyed this the most because I am a mechanical engineering student and work at an engineering startup company where data analysis is very important. The skills I'm learning here are more in depth than the MATLAB level of data analysis I learn in my engineering classes and share many of the same python skills as what I learn at my job making it feel very relevant and important. ","I have enjoyed least debugging grading issues with the assignments. For example, I accidently deleted a cell and that caused me a difficult rabbit hole of trying to debug the issue. Another example is the csv wouldn't load in one cell causing the next cell to not pass an assert and would confuse me trying to validate the assignment. Although this does not happen often and I understand how it is unavoidable but it has been a little difficult. "
I like the interactiveness of the lectures.,I wish that we could do projects with less than 4 people.
coding,none
What I enjoyed most about COGS 108 so far is the well structured of the lecture with detailed examples. The professor explained the abstract concept of data science very well with many examples so I can better understand the concept and be ready to apply them in our group project.,"None, everything is good. "
I find the datasets that are used in class to be interesting.,I do not particularly like how all the due dates are on Sundays because I feel like that just enables me to procrastinate more.
"What I have enjoyed most about COGS 108 is the style of lectures we have had. I like how we can experiment with our own notebooks during the lecture, as well as the various examples Professor Ellis gives for concepts that are a part of slideshows.","Something I have liked the least is having difficulty with labs/assignments when something in them was not covered in class. I understand that we should work to arrive at a certain answer, but I struggle at times as someone with a very basic knowledge of python. "
"Projects, good practices",Nothing
How chill the class is when I have two other very time and mental commitment heavy classes,The fact that two of my group members take so damn long to respond 
The way the assignments are structured. They are very detailed and are great for diving into data analysis,The datahub was confusing to use in order to find assignments and how to submit. 
I liked working in a group and being able to choose the topic we are interested in researching and doing our project about,N/A
"I enjoyed learning about more of the non-technical side of data science. Although I already have some data science experience, it was good to know that there should be ethical considerations and processes to keep in mind when working on DS projects. ",Some of the content that was taught earlier either did not feel too relevant to the class or should not have gone into much depth. Some examples are the Fermi estimations and scientific notation review. 
learning about the different topics,Using datahub is annoying sometimes
"The different topics that were covered in the lecture, and how they are all related to data science",Figuring out GitHub with little demo 
The different topics introduced,"Jupyter notebook has been difficult to use with GitHub, I had never used it Jupyter before just GitHub so it took a while to figure out how to setup the notebook "
"It is very straightforward, and I understand what is expected of me.","The class layout, datahub, and github repo are very confusing. As a student, it is easiest when everything is in one place, and I have to go searching for a lot of assignments and things. There are also a lot of things due, but I am glad that they are consistently due at the same time every week so I can have some ease from that."
It is fun to learn new techniques of data analysis.,N/A
"I've really enjoyed mostly actually doing the assignment, discussion or otherwise. I also like the fact that we have edstem, it really helps when I'm struggling.","The biggest thing I've disliked is actually figuring out a proposal for our project because none of my group members had ideas and we really struggled with even coming up with examples or topics to get our ideas flowing. The directions are also way too vague, and it would've been much better appreciated if some broad genres or some ideas could be given to us to help out as to what we'd have liked to do. "
learning data science methods,mmm nothing? it's kinda a cool class
"Interactive class activities, especially the ones that make us think before knowing the solution!",Sometimes I feel like I'm falling behind but I have managed to be caught up so far.
"One of the things I’ve enjoyed most about COGS 108 is learning how to apply data science concepts to real-world problems. The course goes beyond just theoretical knowledge—it provides practical skills for analyzing and interpreting data, which are incredibly valuable in many fields.","While I’ve really enjoyed COGS 108 overall, one challenge I’ve faced is that some of the assignments don’t always directly relate to the lecture material. At times, it feels like we are expected to figure things out on our own rather than following a clear step-by-step connection from the lectures.
 I do however understand that this approach is intentional—it pushes us to think critically, problem-solve, and develop independence in working with data, which are essential skills for real-world data science"
In class lecture attendance questions -- help me solidify some concepts,Assignments -- not really enjoyed the least. The quality of questions can be a bit confusing
The fact that Python can be applied to real-world data analysis problems is interesting to me. ,When I run into a coding problem or an unfamiliar problem that I have no idea where to start. 
Brainstorming new project ideas with my group,"The morning time of the lecture (9 am is quite early), And the 2pm lecture clashes with another class for me"
"I learned a lot about analyzing and visualizing data, as well as tools of doing so, and seeing the usecases for real life data","Using the jupyter notebook system is somewhat of a pain. Also, as a transfer commuter student (living at home), not having a live zoom option (like we did during the day of the lockdown) is a real pain, as the drive (takes a lot of time) and parking (extremely hard to find) can be extremely difficult and tiring to deal with."
When you mentioned the fart gasses. That was quite the humorous and intellectual ,Something I am adamently not liking in this course is the ratio. I wanted more men in this class
"Class, it’s interesting ","Lab assignments, tedious "
I enjoyed the most about COGS108 is working with my teammates and figuring out which topic we wanna chose for final project. it has been fun and excited,"The thing i enjoyed least is woking on assignment, it could be frustrating sometimes"
The labs and assignment,Nothing
"I liked how we did surveys in class, and then our data is displayed after, makes me look forward to what everyone else had put. ",The attendance ec only being 0.5% makes it seem like it is not as worth it if I had missed already 1-2 classes.
I have enjoyed meeting my team and discussing what we are doing moving forward.,The labs and lectures are a little slow and boring sometimes. I feel like the speed of the lectures could be a little faster. 
I enjoyed answering open-ended questions during the lectures. Making estimations about the data like Fermi Estimation was a fun activity. Discussing with the classmates and dealing with hypothetical questions were also entertaining.,The classroom felt a bit too crowded at first.
"I've enjoyed doing the Assignments and Discussions on JupyterHub because they're so organized and the instructions are clear enough for us to write code yet challenging at the same time, enough for us to learn more along the way.",I would say just not enough time spent on learning GitHub as a class. Exploring the application itself.
"I learnt a lot from assignments and labs, especially the graph generation and analysis are important practical data science skills to acquire. ",I do not get inspiration about my project topic through lectures. I feel like it would be better if there was a lecture regarding data science project explorations. 
I really like how the course tries to emphasize the data isn't always objective and that how it is presented matters a lot. ,Datahub is always broken when it comes to running Discussions and Assignments.
Coding and seeing all the graphs,How long the assignments are at times.
I really like the assignment and how it is guided,How early classes are. Especially in the mornings with the weather I have trouble getting up early enough.
The lectures have been really good. Love the explanations given by professor,Nothing
I like when real world examples or in class demonstrations are used in the lectures. They make the concepts easier to understand by showing how they apply in reality.,Nothing comes to mind at the moment.
data analysis and experience ,too much data science attendance 
I like the collaborative work that we are able to accomplish.,"I think the deadlines are a little bit tight, but I think they are manageable. "
Understanding how to use python to manipulate and present user research clearly and professionally,"Github is new to me and confusing… I know many in the class are experienced with it, but since it isn’t a prereq I don’t feel like there’s been enough explanation of the basics at times. I also wish assignment code was more directly related to lecture content. I’d just prefer more support on that end. "
I like how the lectures explains data manipulation and processing step by step and gives us a chance to practice in the weekly assignments.,"Maybe the weekly timed review quiz, since it only allows one attempt and has a 15 minutes time limit."
I enjoyed learning how to code in a data science way because I am a CS major and I don't really get to use my coding skills in data analysis / exploratory ways.,I think the quizzes because it is a little stressful that it is timed 15 minutes and you cant see the score till a lot later.
"I enjoy everything about this class. The assignments and discussions are really interesting, and I find them engaging and easy to follow. I also appreciate how the class is structured in a way that makes learning the material enjoyable and manageable. For instance, having Assignment every other weeks and Discussions each weeks. ",The group project has been my least favorite part because I prefer working independently. Coordinating schedules and communicating with others to plan and discuss tasks can take a lot of time.
Assignments aren't too difficult. And theyre pretty straightforward,nothing
"I have enjoyed learning about data analysis and the different ways we could visualize data. Through this course, I am realizing that there are so many things which can be done with data which makes it important to be cautionary about ethics and privacy.","I think I am enjoying the course so far, it would be helpful if we could have access to all discussion slides and if they could go more over the things expected in assignments/labs."
I really like the interactive assignments and labs on Jupyter Notebook. I feel like they're very clear in the instructions and what each cell should do (the assert functions definitely help in this part). ,I wish the lectures and homework material were a bit more interconnected with each other. 
"I've enjoyed how easy the material is to grasp, and the assignments are clear and straightforward.","So far, I haven't encountered anything that stands out as particularly challenging or unenjoyable. The course content and structure have been straightforward, and the assignments are clear, so there's nothing in particular that I would say I dislike."
What I’ve enjoyed most about COGS 108 is getting to work with real datasets and applying what we learn to actual problems. It’s satisfying to see patterns emerge from messy data and figure out how to make sense of it. The flexibility in the final project is also a big plus—it makes the class feel more relevant to personal interests.,What I’ve liked least is having to constantly flip through lecture notes to find specific commands or methods. It would be helpful to have a more organized reference sheet or a quick-access guide instead of searching through multiple slides and notebooks.
The clean and interactive style of the lectures.,None so far.
The discussion assignments have been really interactive and enjoyable. I think they really help us with understanding what we need to do for our programming assignments and also our upcoming projects.,"I don’t think there is anything is particularly that I have not liked. Maybe a bit more clarity on programming assignments because some so far in PA2, the instructions were quite strange and hard to follow."
The way the course is taught is easy to follow,"Group work, my team does not seem very proactive"
I've liked the labs and homeworks! I think incorporating interesting datasets makes them that much more enjoyable.,I have no qualms about COGS 108 so far.
"I am enjoying the labs and assignments as I feel I am learning new techniques for using python, pandas, and the other packages, as well as all of its built-in features and methods.","I feel like the timeline for the group project should be more spaced out, for example making the previous project review due earlier and having more checkpoint group assignments."
Labs are intuitive and fun to work with.,Assignments are very hard to pass all the tests.
The hands-on labs and assignments ,n/a
I like that I can work through the discussions and assignments at my own pace rather than a timed test.,It is difficult for me to complete a group project this quarter. 
I like the lecture’s especially about how to be a good data scientist ,I would say the coding. I feel like between lecture content does not really help with coding assignments much
"The challenge of completing the assignments. The directions explain what to do, but it often takes a bit of trial and error to actually follow them correctly.","The parts of class where we discuss things with our neighbors is overwhelming for me. With so many people talking at the same time, it is difficult to have a productive interaction with neighbors and usually leaves me in more of a state of confusion/nervousness than before."
we can collect our own data to solve a problem,too much assignment
"I like the topics of discussion. Especially the political analysis of D4 - quite an interesting set of observations, prompted me to go and read a little bit more about the topic.",N/A
I've enjoyed exploring datasets and having the freedom to research any topic we would like. The vast amount of datasets online is intriguing and makes me want to research everything.,"The assignments have been quite stressful because after losing points on the first assignment, I've been overthinking every hidden test case to ensure that I can get full credit and not lose any points."
"I like how interactive the course is. There are many opportunities to exercise data science and thinking skills during lectures. Additionally, I like the slides that are used during lecture. I believe I learn better when the slides have graphics and visuals that correspond with what is being said out loud. ",I do not have any complaints about COGS 108.
I have enjoyed the lecture style because it is interactive and engaging.,"I don't like the lack of clarity for some discussion assignments in the instructions. I know it would be better to attend the discussion, but in situations where we are unable to, I feel the discussion assignments aren't clear enough to do on your own. "
Lectures. Ellis is brilliant at explaining things concisely at a high level. Her clear expertise makes me want to listen.,Datahub :( I would prefer some form of gradescope as most of my other assignments are submitted there. 
I have enjoyed the informative and applicable labs and discussions. I really like how they aren't too lengthy and are not repetitive. It encompasses the lecture topics very well.,I wish classes were more interactive amongst students instead of just following along with the lecture and doing the check in questions.
"I've enjoyed the pace and teaching style the most about COGS 108. I am not the strongest at coding, so having visuals and going in depth with the code in class really helps when I have to do the assignments and discussions.",There aren't any pain points that really stand out to me. 
"I really like all the topics that we are covering and the way professor Ellis is lecturing, and I really like the project we are about to do (I am also nervous cause all these are so new for me )","My answer is not necessary something I do not like, it is just extra challenging for me: 
The fact that we are doing everything in GitHub and the way most of the thing are being done in the class are so new to me and challenging and sometimes it stresses me out but it is not a bad thing at all and I am excited for the day that I get comfortable with all of these. "
