enjoyed_most,enjoyed_least,difficulty,time_spent,a1,proposal
Not having any midterms to study for,I dislike having one chance on the video quizzes because some of the questions will not be as straightforward as the lecture video and sometimes I second guess my answers.,somewhat easier,somewhat less,3,10
I like learning about the python libraries and all the useful features there are.,having to remember to watch the videos,somewhat easier,somewhat less,2,3
The content is interesting and easier to digest because it is separated into parts.,The grading is all or nothing. One part that contains multiple parts can be worth nothing because of one mistake.,somewhat easier,somewhat more,4,5
learning the python,watch the video  and answer the quiz for  me whom first  language  is not  english,about as difficult,about the same,4,3
Learning how to extrapolate information from data,Having to find datasets that fit your problem,way easier,somewhat less,4,8
The format and presentation of the video lectures are done very well and are easily digestible by topic.,,somewhat easier,somewhat more,1,1
Online Assignments on datahub,"The quizzes. Can be overwhelming to keep up with, esp with the pressure of performing well for your grades sake. I do think that an unlimited tries format would be better",somewhat easier,somewhat less,1,3
"I really like the lectures as a data science major, it highlights important aspects about data science without missing out on anything and also goes over topics that I've forgotten.",That lab sections are remote :( but it's inevitable so I understand.,somewhat easier,about the same,2,4
"putting into the concepts into practice. It has helped me a lot with basic understanding of pandas thus far, which is what my lab on campus is working on","its all online :( Wish I had the experience to meet you in person, professor Ellis!",somewhat easier,about the same,8,2
I like the assignments! They're pretty fun.,Lectures are almost identical to COGS 9,somewhat easier,about the same,2,3
"The lectures videos are clear and easy to understand, and they are also easily accessible.","The time limit of the every lecture quiz is too short, sometimes I don't even have enough time to view all the questions.",about as difficult,about the same,3,3
I really like that Professor's lectures are very clear and helpful for the quizzes. ,"I really enjoy working on the assignment, but they can really be stressful and time consuming if you do not know a lot of python or pandans, like me. ",way more difficult,somewhat more,48,14
The way the class has been conducted is refreshing. No online class I've taken so far facilitates learning as well as this class.,"So far, nothing.",somewhat easier,somewhat less,2,3
"I have enjoyed the well-spaced out lectures and jupyter notebook format of a textbook, which both saves money and is very interactive for me as well.","There is nothing I really like less about the course, but I would say the time limit for the quizzes are pretty short and fast.",about as difficult,about the same,1,4
The content is interesting eventhough i'm not majored in cognitive science,I learned nothing from the reading quiz since they are too fast and I dont remember anything about it after finished,somewhat more difficult,about the same,3,2
Length/depth of assignments & video clip lectures,Group project-ing online & not having in person TAs,about as difficult,somewhat more,8,3
Learning about data science ,Coding because I’m not very confident with it ,somewhat more difficult,about the same,5,4
I like the assignments I learn a lot and they are petty straight forward ,some of the videos are really long ,somewhat easier,somewhat less,2,4
the short bite sized videos,the specific timed quizzes for every video,somewhat easier,somewhat less,1,3
I've enjoyed going through the data cleaning process since it's an aspect of data science I've struggled with and this course is helping me understand it better.,I'd like to be able to go over individual graphs more and how to be more fluent when creating them since I feel that that's an important aspect of data science (presenting data) that has been touched on in class but has not been gone over thoroughly.,somewhat easier,somewhat less,2,5
"I've really enjoyed how straight forward the lectures are, for one. Having them on youtube has made it super easy to follow along, and Professor Ellis is very clear in the way she presents the material. I also am really liking my team for my group project - we get along super well and have had a good workflow from the start. I appreciated that you went through the basics of git and github, and the material is fascinating to me from a practical standpoint.","The assignments have been a challenge, since I am very rusty on my Python.",about as difficult,somewhat more,7,6
I like that I get to test my knowledge.,Something I don't particularly like is not getting feedback on my responses fro quizzes. I don't know what I did wrong. Nor getting the opportunity to get another try. I is a bit frustrating honestly.,about as difficult,about the same,10,24
python. Using data skill,it is hard to get data,somewhat easier,somewhat more,5,1
I like that all lectures and material for the week are uploaded by Sunday so that I can plan accordingly and do what works for me and my current schedule ,n/a,somewhat easier,about the same,2,2
Doing the assignment.,Taking the quiz,somewhat easier,somewhat less,1,2
"The online lectures, they're convenient, broken up into parts to give me time to digest the information, and interesting.",Group Project because some of my members are less interested in coding than I am.,somewhat more difficult,about the same,1,2
I've enjoyed the straightforward projects and the fact that this actually has real world applications with the experience we can gain using GitHub and jupyter notebooks,It's all been fairly solid so far,somewhat more difficult,about the same,3,6
"EDA, Data Wrangling, Pandas ","Some of the dryer lectures. But honestly youre doing a really good job keeping everything engaging, using interesting examples, and breaking up the material into really digestible chunks.",way easier,somewhat less,1,2.5
Just generally what were being taught. I might actually be into data science as a career.,"The online lectures are monotonous and not engaging, but there is no way around it.",somewhat easier,about the same,2,5
Assignments are interactive and requires implementation of Pandas dataframe,Strict time limit on quizzes,somewhat easier,somewhat less,2,2
Daily quizzes helped me to keep track of the course.,"There's only one attempt for the quizzes, and I am still little bit confused about how the individual project will go for me.",about as difficult,somewhat less,2,2
The announcement part at start of every week. My other courses don't have that part so it may take sometime to figure what to do at the start of the week.,No reminder for due day of hw.,somewhat easier,about the same,0.5,2
So far I've really enjoyed being able to work on the project as a group and getting better at Python by practicing with the assignments,The canvas quizzes after the videos got much more difficult within the last two weeks ,about as difficult,about the same,2,5
Being able to learn the material at my own pace,Sometimes the quiz questions/responses are a little too vague,somewhat easier,somewhat less,1,2
"I have enjoyed the lectures being divided into smaller chunks of specific topics, rather than a large 1 hr video because it makes it easier for me to focus on the lecture.",I have liked every aspect of the course so far.,about as difficult,about the same,2,3
Everything has been online and due within reasonable time constraints; it gives me a lot of freedom in terms of management of the course,"Haven't run into major issues so far; but one thing that has been bothering me is the lack of ability to view answers on quizzes well after the quizzes are over. 

Reason for this is while I can go back and continuously watch the videos until I understand or may think a certain answer is correct, having a solid ""YES THIS IS CORRECT"" gives reassurance.",somewhat easier,way less,3,3
" No. I am new to python, so the speed could be too fast to me",yes. It taught me a lot about data science,about as difficult,about the same,4,5
"I have enjoyed the opportunity to examine the various strategies that are best when examining, displaying, and analyzing data.","As someone who was unfamiliar with git and github as well as python, getting caught up to speed for this class was difficult.",somewhat easier,somewhat less,3,5
I think I've enjoyed working with my group the most  because I think we have a good idea for our project (even though getting together has been difficult with everything being online),I would say the online aspect is the part I have disliked the most. If it was in person I don't think I would have really disliked much.,about as difficult,about the same,1,3
What I have enjoyed most is the explanations and concrete examples of how what we're learning is directly applied to data right in front of us so we get an understanding of exactly how these concepts are used.,The thing I have liked the least is the sheer different tools and packages that are used as I feel like I don't have a solid grasp on any of them and that will be a problem when I have to do my data analysis for the final project.,about as difficult,about the same,3,10
The video quizzes since it keeps me on top of watching the videos and learning the material.,Pre-recorded lectures because I've never been good with watching podcasts before this quarter (but i appreciate how far in advance they are posted),somewhat more difficult,about the same,5,1.5
I like how applicable the content is and how Professor Ellis explains things so well.,"I just don't like how lectures online because experiencing this content in person would be much more effective, but that can't be helped.",somewhat easier,somewhat less,2,3
learning about pandas,getting stuck on bugs in my code,somewhat more difficult,somewhat more,4,2
The lecture videos,No,somewhat easier,about the same,3,3
Most of all I have enjoyed the topics and the approach this class takes to teaching the topics. The videos are straightforward and get to the point which is nice. ,There isn't really anything I would change. ,about as difficult,about the same,4,6
The wide variety of knowledge and application in python,The quiz are so finicky,way easier,way less,0.5,2
"I've enjoyed learning more in depth about the data science process through our course material. It's interesting learning about the gist of what data scientists do from a guest lecturer for an hour, but I've found that it's even more interesting to learn about the different pieces of the puzzle/method progressively in an interactive way. I have a larger appreciation for what data scientists do even more so now. ","We've been moving more/less at a fair and comfortable pace, but I feel like grasping the new material presented in the class is much easier if you come in with specific background knowledge -- Python and/or more extensive coding experience and statistics.",somewhat more difficult,somewhat more,7,4
I really enjoy the lectures video and how its broken down into separate videos; I am able to understand the concepts more easily and can refer back to the videos.,Nothing. It's been interesting and enjoyable so far.,about as difficult,about the same,5,2
the flexibility of accessing lectures,quizzes sometime,about as difficult,about the same,3,2
"What I've enjoyed the most was being able to learn about new data models, and specifically how approach data based off what type of analysis you want to perform. I think it is very useful know the specifics for each and how to really approach data sets.","What I have liked least it mainly the coding parts, only because coding is just not a strength for me, however it doesn't deter me from trying.",somewhat more difficult,about the same,2,1
The lecture videos were very concise and clear. I also like that each video is short to keep the audience's attention.,The time limit on some of the quizzes was somewhat stressful (the ones where we only had 1 minute to answer a question),somewhat easier,somewhat less,5,8
Learning about fun concepts like fermi questions,The project proposal didn't really make sense to me,about as difficult,somewhat more,3,3
The daily (every other day) podcast,The quizzes could have been a little more challenging.,somewhat easier,about the same,1.5,2
The projects so far walking us through how to do data science have been really cool,"Quizzes are stressful. I missed a day, so my fault, but still.",somewhat easier,about the same,1,2
The lectures have been adapted to remote teaching better than any other course I'm enrolled in which makes the material easy to consume and motivates me to actually get it done.,The use of github and all its intricacies (while I knowledge their importance in the professional world) frankly seems like a unhelpful addition for myself and several others I have spoken to,about as difficult,about the same,2,1
Working on the group project proposal,Taking quizzes,about as difficult,somewhat more,4,5
The group projects,The longer video tutorials and long coding assignments,somewhat more difficult,somewhat more,8,6
I liked how I could move at my own pace.,"If possible, I wish the quizzes were all due on Friday. Other than that, I think it's been pretty okay!",somewhat more difficult,somewhat more,9,7
"I have enjoyed many things, learning python, a new environment(datahub/notebooks) learning introductory steps of data science and how to manipulate that data with python. 

But what I have enjoyed most is learning in general this course does a great job of balancing rigor, work, and comprehension time. All the slides are also very appealing to the eye and therefore easier to digest and comprehend. I really enjoy this course.      ",I thought that the final project proposal was due to soon or we just were not given enough information prior to completion. I felt like I didn't know enough about data science to find a truly interesting question and had to sacrifice that for one with easy to find concrete data ,somewhat easier,about the same,10,6
The group project,The quizzes,somewhat easier,somewhat less,0.5,2
The assignments have been the most enjoyable and where I actually feel I put to practice what I learn.,"The long notebook lectures, not only are they hard to follow, I also find it hard to focus during them. Between watching the video and actually trying out the commands myself, it takes around twice the time to complete them. Makes it feel more like a task than a learning activity. Feel like it would really help if when notebook lectures are assigned for it to be the only lecture of the day if the length is long.",way easier,way less,2,5
I really enjoy all of the data visualization,I have struggled with getting help virtually this quarter,about as difficult,somewhat more,3,6
Nothing,"The final project, I feel I don’t get enough guidance on proposing the question or making analysis.",way more difficult,somewhat more,2,4
"How approachable the instructors are, I feel like unlike in other classes the instructors of this class seem friendlier and enjoy helping us.","The fact that I can't check which answers I got wrong on the quizzes until a later date, if I get one or 2 wrong on the 1st quiz of the day I begin to second guess my self on the other ones.",about as difficult,about the same,6,5
Interacting with Python and being able to see examples. ,There is a lot of content in each video and it makes it very hard to catch it all/take notes due to the speed.,about as difficult,somewhat more,1,5
"The lectures, they are well prepared and I learn a lot from them","The after class quizzes, I have been struggling keeping up with those",about as difficult,about the same,2,5
"the example, like what we can do with the real dataset",the individual project prompt is so boring ,about as difficult,about the same,2,3
,,way easier,way less,3,5
"The ease of the course, it helps lower my stress",I frequently feel bored since much of this I've learned already,way easier,somewhat less,2,2
I've enjoyed the structured videos they are very well done and I like how it is organized. I love that we are actually doing data science as a way to learn about it.,The Assignments can be difficult to understand especially since I had no prior experience in jupyter notebooks or python,somewhat more difficult,about the same,5,4
the recorded video,sometimes the video quiz is kinda hard,about as difficult,about the same,5,10
"I really enjoyed how statistics and programming is combined in this course. It starts off very simple and explains both sides. I took a CSE class similar to this course and the professor just assumed you knew how to program and basic statistics terms. There was no datahub so I had to figure out Jupyter Notebooks and python on my own. If I had taken this course before that class, I think I would have enjoyed it more. ",It's not a problem with the course. The online structure has made it difficult to concentrate over an extended period of time so I really liked the short video and quizzes. ,way easier,way less,2,3
I enjoy interactive learning through Jupyter notebook examples and assignments,"It was a bit difficult to develop a project research question and hypothesis, maybe some further guidance in that regard would've been helpful",somewhat easier,somewhat less,2,4
The Assignments thus far,Project proposal,somewhat easier,somewhat more,2,2
How it is broken down simplistically so I can learn efficiently as I am a slow learner and lack a lot of background knowledge that I was scared would hinder me in this class,The fact that it is online. I don't have quiet place to watch lectures or do homework and I feel like I am not getting the most out of my education ,somewhat more difficult,somewhat more,2,5
"I think I've enjoyed the group project the most. I think it was really fun getting to talk to a group of classmates and throw around ideas for a research project. Getting to know what others were interested in and how we might approach answering a question with data analysis was really nice, especially just getting to talk to people again like you would during discussion sections or lecture. ","I haven't really enjoyed having to learn Python and Pandas and having to use jupyter/data hub virtually. I think it's been really tough for me to understand exactly what is needed for each assignment and how to do it. Although the lecture videos have been helpful, it's still been difficult to not get the help in person and having to learn it all by myself in a short time. ",somewhat more difficult,somewhat more,5,6
The way the content is taught is extremely interesting! I like how the videos are split up,I keep getting quiz questions wrong even though I take extensive notes on each video to make sure I understand the content. It frustrates me a lot because I know I only have 20 free points and I know I would have gotten 100% of the lecture attendance points had the class been in person. ,about as difficult,about the same,8,8
I've enjoyed the programming assignments because they help me remember how to use Python,,somewhat easier,somewhat less,2,2
the flexibility that we have with watching lectures,,about as difficult,about the same,5,3
Python pandas practice,Quizzes,about as difficult,about the same,2,10
,,somewhat more difficult,somewhat less,5,6
"I have experience learning pandas and I can say that I have enjoyed how you have framed this as well as numpy. I also like how you incorporated git. As a DSC major, no one has really explained the processes under the hood in github and I can say that I was really happy to have learned more about it.",Nothing so far.,somewhat easier,somewhat less,1,4
I don't personally care too much about the topics being taught in COGS 108 however what I was really impressed with is how much effort the TAs/Tutors and especially the professor is putting in. I recall on one of the past surveys asking for an open answered response I just put in something semi random but I received an email response back that specifically responded to what I had said. I was really surprised because I think that was the first time I ever received a personalized response to one of the hundreds of surveys I've had to fill out. Seeing you all work hard to respond to all the students showed that you really care about your students makes me want to work hard as well! Also the errors in editing you have sometimes are really funny as well.,"Definitely the quizzes. I don't have a big problem with having quizzes themselves but at times it feels like its just a bunch of busy work with no leniency on deadlines. I understand that you open up the quizzes the weekend before but a lot of the time I have another class that has priority for an assignment that's due Sun night, Mon night, etc. I believing something like having an extra day for the quizzes would help out a lot at times (Mon quizzes due Tue night, Wed due Thurs night, etc) as it would let me work on whatever I have to finish at the time and not have the COGS quiz in the back of my mind haunting me. One other thing for me personally is just having a little bit more time on some of the quizzes. I've always been a bit of a slow test taker and regarding these quizzes where sometimes the answer is one small thing mentioned in a 20 minute video I find myself going back and forward making sure I have the right answer and it eats up a lot of time for other questions. Adding something like 15 - 30 seconds on each question for the quizzes would help out a lot for me personally.",way easier,way less,1,3
I'e enjoyed the interactive notebook for lectures as well as being able to work ahead if i need/ move at my own pace. ,The deadlines for lecture quizzes being that day. It would be helpful (at least given the current circumstances) if maybe they were all due friday.,somewhat easier,somewhat less,0.5,3
"Learning to use Python, since programming is my interest",Quizzes taken after the lecture videos. It feels difficult a lot of the time to take a quiz based on material that I just finished learning for the first time and am still processing while also affecting my grade.,somewhat more difficult,about the same,5,3
Learning the way to analyze data.,none,somewhat easier,about the same,6,5
I really liked learning about the different visual graphs and which each kind is used for. I also like using Jupyter Notebooks! It's so niiice and such a great interface and user-friendly enough for us.,"I don't like how I can't see other people besides my project team. I feel like I probably would have made friends in this class if there were actual in-person lectures to go to. I think this is most frustrating since I'm not very familiar with using git/Github. I know that there are tutorials online, but it's almost always easier to have someone to help in real-time. I'm very nervous about using it, still.",about as difficult,about the same,4,5
I have enjoyed how thorough the lecture videos are. They help me learn the most.,The material. I am extremely bad at python and data science and I have honestly no idea what I'm doing in this class. I have such little coding experience (of which none is in python) so for me I'm really struggling in this class. I'm not sure what would help me or make this class easier. At this point it might be easier to change my grading option to P/NP. Please send help.,way more difficult,way more,36,12
The idea of manipulating large sets of data and cleaning it was entirely new to me and it has been a very interesting experience,The course is set up well and I have no real complaints. Attendance is not required and quizzes/assignments are fair.,about as difficult,about the same,2,1
learning visualization and data analysis methods,quiz with time limit,about as difficult,about the same,2,2
The idea of working with data (such as A2 assignment),The fact that it is offered online (through no fault of the professor). I learn better in an actual classroom because there is less distractions.,somewhat easier,somewhat less,2,2
"I love how the class is 1/2 programming and 1/2 subject content. It keeps thing new and engaging. If we only learned code, I know I would be overwhelmed very quickly. If we learned only subject content I know I would feel bored. The mix of both makes me engaged. I also feel if the two weren't mixed in the way they are now, I wouldn't be able to make the same connections with code and content","Nothing that I hate, but I would like a small increase in time for the quizzes. I know they're meant to test our knowledge but a minute or two more would help me not feel so rushed.",about as difficult,somewhat more,4,0
The data analysis that we covered and what it means in relation to the final project,How tricky the quizzes are since there's no way to know what to pay attention to ,somewhat easier,about the same,4,5
Understanding data science,I think the quiz timer is a bit too short. I didn't have time to think about my answer,somewhat easier,about the same,6,2
I enjoyed attempting to think from the perspective of a data scientist in formulating a project approach.,It feels like we glance over a lot of the material without applying it in another context than the example in the lecture. I think this concern has been augmented by the fact that we're not about to enter into discussions during a collective lecture. I suppose when I finish the second assignment I will have a more clear idea about how we are being tested for understanding of the materials.,about as difficult,about the same,2,4
ummm seeing many different graphs,PA's assessment isnt clear ,about as difficult,about the same,2,3
"Being able to see the material learned in my ECON and MATH courses being applied in a different way. Also the organization for this class is impeccable, I can see what needs to be done at any time all in the modules of canvas. ","To be honest not much. If we're going to pick egg shells here I was a bit confused as to where to find the assignments at first, but that took like 5 mins to figure out via common sense so not much of a problem. ",somewhat easier,about the same,1,3
Brainstorming questions for the project proposal,No live classes or make it feel like something I am working on,about as difficult,somewhat more,3,10
It's been decent so far. I liked learning the basics of coding ,"I don't like how hard it is to find a group, and it's hard to keep up on the quizzes sometomes",about as difficult,about the same,4,2
How applicable it is to real life,Too many quizzes,about as difficult,somewhat more,2,2
The application of the skill itself. ,That the course slides and videos have not all been released.,way easier,somewhat more,1,5
I have enjoyed working on the assignments because it allows me to apply what I have learned from watching the lectures.,"I have liked the proposal least because I had a hard time deciding what question to research from the vast variety of options the individual project could lead to, but once I decided on a topic it was much easier and gave me more reassurance.",about as difficult,somewhat less,1,2
I enjoy learning the course most by learning myself.,I liked the homework.,about as difficult,about the same,10,10
Practical solutions to data science problems that we could encounter in the wild.,"As someone who has taken many computer science courses, this seems kind of slow. But I think I am in the minority.",about as difficult,about the same,2,5
Python and Data Analysis,Time for quiz is too short.,about as difficult,about the same,1,4
the material itself,professor speak a little fast,somewhat more difficult,somewhat more,7,1
The bite-sized lecture format :),The lectures released one week at a time. It would be nice if I could work further ahead sometimes. Its pretty tough to be keeping track of 20+ mini tasks each week for just one class.,somewhat easier,about the same,2,4
I have enjoyed the quality of the content and assignments. They are very clean and there is a lot of effort to help students learn the material,"If I'm being completely honest, data science isn't one of my favorite subjects, but this class is doing well at getting me to be interested. ",about as difficult,somewhat more,4,2
learning about data analysis,MWF quizzes,about as difficult,about the same,3,3
I like coding.,No complaints in particular.,about as difficult,about the same,4,2
,,somewhat easier,about the same,1,1
,,about as difficult,about the same,5,5
"Yes, it's fun and this is the most fun class i am taking right now",The short video is kinda dun because the professor broke it into several part and the way she explains it is very clear,somewhat more difficult,way more,14,15
The assignments. The lectures are informative but you only understand the applications when you do the assignemnts. ,"honestly this class is pretty good, i like everything about it. i guess the only thing i don't like is the fact that its online. I feel like having the experience in class, and getting the chance to interact with other students and the instructor in person would make this class even better than it already is.",somewhat easier,somewhat less,4.5,2
Writing code. There is immediate feedback and feels like I am learning something useful.,Writing reports. It is tedious and mind-numbingly boring.,about as difficult,somewhat more,3,4
,,way more difficult,somewhat more,4,4
,,somewhat easier,somewhat less,0.5,3
"I've been enjoying the topics covered in the discussion section, which is more focused on the programming aspect of Python. Although as of right now most of the topics are stuff like data structures or concepts that I already have a grasp on, it's really improving my understanding on these things. As a math major, it's a very common occurrence for me to be able to do something programmatically, but not actually understand why it works.

It's also nice that the a lot of the examples on the video lectures are real case studies. It makes it easier to grasp a concept. Some of the stuff like ethics on data science are also things I've never learned before, so it was really interesting for me.","-) A few of the github links seem to be broken or missing , like the ones for the individual project proposals. The template in the ipynb file was for the group project instead, and I had to go to a specific file path in order to find the correct template. 

-) I'm the type of person that likes to do assignments on one sitting and be done with it, so the video quizzes has been a bit of a hassle for me. I get that I can just finish the video assignments at the beginning of the week but it's a different kind of studying than doing the programming assignments, which is what I'm used to, if that makes sense. With the videos I really have to focus on them for ~10 minutes at a time, do the quiz, and then focus on another thing on the next video. It's also harder for me because I have ADD.

I totally understand that this is due to the sudden change of the course structure though, and I appreciate that these accommodations are made. This is just me being nitpicky lol.",somewhat easier,about the same,2.5,5
I enjoy the assignments the most because it is practical training.,"Even though I like the assignments, I dislike using Python and Pandas. I do not like dynamically typed languages. The Pandas documentation is overly verbose, and I find the design nonsensical and overly complicated. ",somewhat easier,somewhat less,1,3
Learning about how to format data,The quizzes are too tricky sometimes,about as difficult,about the same,2,4
Group project is very interesting and our group picked a topic we all had a lot of interest in which makes it even better doing the actual project,"Nothing really, maybe the quiz due at end of every MWF but it's good to keep me on track lol",about as difficult,about the same,6,5
,"The lack of leniency on the video quiz. I understand that the professor is generous enough to give 20 free quiz points, and students really do appreciate it. But I also hope that the professor and TAs know that us students can make a lot of mistakes, especially when it comes to managing our time. Some of us can get carried away with projects and work in other classes that we forget to take the video quizzes. Instead of restricting the quiz right away after the deadline, maybe implement a late penalty for them. This is just a suggestion, I am not in any ways trying to tell the professor and TAs how to do their job. However, I do hope you guys can take this input into account. ",somewhat more difficult,somewhat more,4,2
I've enjoyed the programming in Python with Pandas. Messing with data in a relatively simple manner is intriguing. I look forward to performing real analysis with it soon.,"Perhaps some of the quiz questions aren't as clear as I'd like. Some questions seem ambiguous in the way they're asked, and I can't tell if they want it answered very technically or just generally how we learned it.",somewhat easier,somewhat less,1,3
I have enjoyed learning about how to tell when data is well-presented or when it should be inspected to tell whether or not the chart/graph is biased.,"I think there are too many quizzes and I'm not a fan of the fact that only 30 points are ""free"" considered there are 50+ quizzes. ",somewhat more difficult,way more,4,3
the quizzes have been a good review of stats ,"it is unavoidable, but working on the project without getting to meet in person can be difficult ",somewhat easier,somewhat more,4,2
Manipulating data sets. Working in a team.,,about as difficult,about the same,4,5
"Assignmnets : I like to have real expereince with Python and the process of doing the research
Lectures : I really do appreicate how staffs are structuring the lectuers (small vidoes, quizes to follow )",not really... ,about as difficult,about the same,2,5
,,about as difficult,about the same,2,10
"Yes, I enjoy this class. ","I can not open the ipynb files to work on it to get better points on quizzes. 
the time for quizzes is not enough . i think I need more than 1 minute per question 
It was hard to find people to work in group for final project",about as difficult,about the same,3,2
The online lectures and the convenience of doing them,Having to talk to team over zoom and not in person,somewhat easier,about the same,6,8
Data Science is very practical in real world experiences.,I'm getting incorrect answers for every quiz :( The questions are quite tricky.,somewhat more difficult,somewhat more,4,4
,"There are too many quiz every week. And even if I watched the video very carefully, there will be some points deducted. We also don't know how to check whether our answer is correct, even if I pass the datahub's previous test, I may still lose points after turning in. This is weird",way more difficult,way more,8,6
Using Jupyter and learning about Python,"Because I watch the videos on 2x speed, professor's normal voice sounds like its in slow mo :(",somewhat easier,about the same,2,2
I have enjoyed learning about the process of Data Science I find it fascinating and picked up a data Science minor ,"Nothing in particular, the course has been fun to learn.",about as difficult,about the same,4,3
group work,"group project, the searching straight ",somewhat easier,about the same,2,6
"The short videos and quizzes, they help me stay focus and understanding the materials.","GitHub, I still need to be familiar with it.",about as difficult,somewhat more,6,5
The videos are easy to follow and broken down well.,"Nothing, the class has been very enjoyable",somewhat easier,about the same,2,4
It introduced a lot of new methods l didn't hear before to do the data anaylsis ,"There're too many quiz everyday, it takes more time compare to other students took this class in a normal quarter ",somewhat more difficult,somewhat more,4,2
,,somewhat more difficult,somewhat more,4,5
The short online lectures paired with the quizzes really helps me keep up with the class,"The multiple places coursework is distributed across. I understand that UCSD requirement are the cause of this, but having to keep track of things on Canvas, GitHub, and Data Hub is annoying.",somewhat easier,about the same,1,4
the PAs are understandable and concise which I like,"the lecture quizzes - I don't like how they're graded on correctness. Even if the videos are shorter than a whole lecture, it can still be difficult to remember things and there are just so many of them",somewhat easier,somewhat more,2,2
"python programming since I haven't programmed in python in a while, it's fun to relearn it.",Daily quizzes since it puts pressure every lecture day,somewhat more difficult,about the same,2,1
"The structure of the class, having video lectures all posted on github before the week starts allows me to complete them whenever I have time and really lowers my stress throughout the week since I completed my quizzes earlier in the week. ",,way easier,somewhat less,1,3
,,somewhat more difficult,somewhat more,5,3
Working on the assignments and talking with my group about potential project ideas,"the quizzes, I feel like I'm not doing as well on them as I should be even though I am watching all the lectures and taking notes.",somewhat easier,somewhat more,4,5
getting in a group,learning python syntax,somewhat easier,somewhat less,5,5
Programming assignment,the quiz is so time constraint,somewhat easier,somewhat less,3,4
"I enjoy the quizzes being short and concise, not overwhelming or a hassle but enough to test knowledge.","The weekly quizzes being due the day of lecture, versus at the end of the week.",somewhat easier,about the same,4,5
Yes. The instructions are incredibly clear and concise and the personal feedback is appreciated.,It's just a bit confusing using Github Desktop sometimes.,somewhat easier,way less,1,3
"Lectures are easily accessible so I can pause when I need to, or go back and watch an explanation over and over again until I understand it!",I wish there was more guidance for the group project -- I'm a little lost even with the instructions on GitHub and would love for a lecture video to go over it. ,somewhat more difficult,about the same,6,2
"I've really enjoyed understanding and learning the different ways that data is actually used and parsed. Previously I had a blackbox mental model of how it ""big data"" worked, but I think this class is helping me ground it into how it actually happens.","I understand that while the quizzes are a way to check for progress, each week it seems like theres alot of them and I tend to get stressed out on top of the work/quizzes from my other classes.",about as difficult,somewhat more,6,4
videos are very informative ,"Quizzes, because of the multiple due dates throughout the week instead of having one due date at the end of the week. ",somewhat more difficult,somewhat more,6,3
"So far, it's been all the new concepts from data science that is pretty interesting as well as the overall flow of the class.",Probably how the final project is broken up due to it feeling like there are decent sized gaps between each part. The gaps are pretty big to where I almost forget we have a final project.,about as difficult,about the same,6,6
,,about as difficult,somewhat more,2,4
Review about python,The part about when should we use which plot is kind of hard to memorize.,somewhat easier,somewhat less,1,2
Uhhh the videos?,Not getting feedback back from my wrong quiz answers so I sometimes do not know what is wrong and why...,about as difficult,about the same,3,0
I like your teaching style; you give very clear examples and explain things in interesting and tangible ways.,It's difficult not having the in-person interactions to keep me motivated.,somewhat more difficult,somewhat more,2,3
Learning about the different kinds of analyses,Having to memorize things that may feel minor,about as difficult,about the same,2,3
,,somewhat more difficult,somewhat more,2,3
"The consistent attention from professor ellis to our learning. Lectures are clear and concise, assignments are fair and promote learning","Because the class is remote, sometimes I forget to do the quizzes. this part is really terrible, but totally my own fault. This quarter requires a lot more personal responsibility. ",somewhat easier,somewhat less,3,4
Video lectures!,"Not knowing what I got on my lecture quizzes immediately after. I understand it's for cheat prevention, though.",about as difficult,somewhat more,5,2
Learning Python!,"All the quizzes! 1 big quiz per day would be preferred, swapping between video to quiz then video again is difficult and feels neverending",somewhat easier,about the same,2,3
"Having the lectures for the week released early, as I like to do it all on either Saturday or Sunday.","none, pace and structure of the class are fine",somewhat easier,about the same,2,2
The project. since I get chance to communicate with others,The reading quiz. I usually didn't have enough time to finish it.,somewhat easier,about the same,3,2
The assignments,The quizes,about as difficult,about the same,1,2
"the videos are posted online in a timely manner, TAs are accessible and answer my questions about the assignments","The assignments can be challenging, finding a group for the final was also a little hard",about as difficult,about the same,10,6
"I like the multiple short youtube videos instead of long lectures! It is way more convenient for my short attention span, and helps me focus and learn much better.","I just don't know if I have enough coding knowledge to succeed fully. A1 and A2 were supposed to be the quick easy ones, but they both took me multiple hours. SO, I'm a little nervous, but that's not really a con to the course, rather I wish the programming was explained a bit more.",about as difficult,about the same,3,3
Getting to learn the process of data analytics. ,Having to do the video quizzes. I sometimes forget and rush at the end of the day to watch the videos.,about as difficult,somewhat more,3,5
The lectures explain concepts very well ,frequent quizzes,somewhat easier,somewhat less,1,2
,,somewhat more difficult,about the same,2.5,7
learning python,video  quiz,about as difficult,about the same,4,3
The availability of all the lectures,Questions on the quizzes can be vague and difficult to interpret.,way more difficult,way more,4,7
programming,none,about as difficult,about the same,5,2
I really like that the videos are pre-recorded and that you release them ahead of time allowing for us to work at our own pace on our own time.,"I don't like that the questions to the quizzes are only one minute per question, sometimes the questions are a little wordy or require for me to take an additional second to think which often leads to me mistakenly getting the question wrong although I feel I could have gotten it right if I were given an additional minute per question.",somewhat easier,about the same,1,2
"I enjoyed learning python, I love learning new languages.",Not having in class lectures. It's hard for me to feel engaged with the material.,about as difficult,about the same,2,3
