enjoyed_most,enjoyed_least,difficulty,time_spent,section_attendance,helpful_materials
"Learning python, the way assignments are formatted is interesting","Final project, I have a team (but not really)",somewhat more difficult than my other courses,way more work than my other courses,I attend section regularly (almost every week),"Lecture, Section - Assignment Help, Section - Workbooks, Assignments, Office Hours, Piazza"
I enjoy learning python - a new language for me to analyze data.,Group Project. The project that we focus on are so board and it is hard to narrow down and use most of the skills we have learned from class.,somewhat easier than my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Lecture, Assignments, Piazza"
I like discussing clicker questions with my friends in class.,I don't like how we were paired with people who we didn't get along with. I understand that it's meant to simulate real life but some people on my team are very mean. Almost like we're in high school again and I'm being bullied.,somewhat easier than my other courses,somewhat less work than my other courses,I attend section occasionally,"Lecture, Section - Assignment Help, Assignments, Piazza"
I loved finding out how simple Python’s syntax is compared to Java and theres so many packages we can implement to make things happen.,I was not able to catch up with some logic along with the data analysis part. I am always lost in terms of why we pick certain way to approach some questions.,somewhat more difficult than my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Lecture, Section - Assignment Help, Assignments"
Learning how to analyze data with python,Lectures aren't engaging,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Assignments, Group Project, Piazza"
The variety of examples.,My project team.,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments"
I've enjoyed the individual assignments so far,"I don't like that I can't choose my group. I do understand why that's the case in this class, but I got stuck with a group who can't even find a time all four of us will meet",somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
"How practical and useful the concepts are. I can certainly see myself working on a side project on my own time to find, manipulate, and visualize data. ",The topic of linear regression was confusing :(,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
I really like how we have covered a lot of topics regarding Data Science and have actually gotten to implement those concepts when we work on our final project and assignments.,So far it is the final project since my group is just getting started and it is pretty open-ended at the moment. It seems like a pretty daunting task but I think it well get better as we put in more work.,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Section - Workbooks, Assignments, Piazza"
"I enjoyed the Jupyter notebooks so far, but I wish there was a bit more focus on how to use them. I really enjoy that our entire assignment is on this platform. ","I really do not like the discussion sections. I want to emphasize this a lot because I have gone to multiple sections whether it is a TA or IA. All of them seem pointless to attend due to the lack of help you can receive in them. The procedure at these discussions is everyone simply sitting down, and the TA/IA waits until an individual has a question on their assignment. I think this is great in terms of office hours, but as an entire section seems to be pointless. Especially for those who are generally confused with the course. There is no form of recap or discussion occurring in these sections. ",somewhat more difficult than my other courses,somewhat more work than my other courses,I attend section occasionally,"Lecture, Assignments, Piazza"
"I really enjoyed the openess of project topic as i felt like that is the most challenging part of coming up with a good project, choose project topics, what is considered a good project, what is the pros and cons of specific data related to the project.",I most i dont like about cogs 108 so far is not having the option of choosing own teammate. I understand that in industry you dont get to work with people you like but i feel like for class projects it is good to work with our friends because we have similar interests thats more than other people put on paper.,about as difficult as my other courses,somewhat more work than my other courses,I attend section regularly (almost every week),"Lecture, Section - Assignment Help, Section - Workbooks, Assignments, Office Hours"
using PANDAS in assignments,feeling like a burden to my group,somewhat easier than my other courses,somewhat less work than my other courses,I attend section occasionally,"Assignments, Piazza"
I can’t think of anything that I have enjoyed in this class ,"The assignments are very long, time consuming, and difficult especially because I have no prior knowledge of python.",somewhat more difficult than my other courses,somewhat more work than my other courses,I attend section occasionally,"Section - Assignment Help, Section - Workbooks, Piazza"
"I like the how wide the range the course materials are, and they are very practical for data science works",No check points for final project in the middle. Makes it very hard to keep the team and myself motivated.,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Group Project, Piazza"
"Python Programming HW, Lecture",Group Work.,somewhat easier than my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Lecture, Section - Assignment Help, Section - Workbooks, Assignments, Piazza"
"We use the same technology as we use if we're going to do it in real life. Pandas, Numpy, BeautifulSoup are some of the examples that we're going to use in the future.","I didn't really like the topics chosen for the examples. Take the US Senate and Housing for example for EDA. As an international student who didn't really know much about US Government, it is hard to keep up with the rules and things going on in the Government.",somewhat easier than my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Section - Assignment Help, Section - Workbooks, Assignments, Office Hours, Piazza"
Coding,Pressure to be in a group,somewhat more difficult than my other courses,somewhat more work than my other courses,I attend section regularly (almost every week),"Lecture, Office Hours"
The extra credit.,Not having Sona.,about as difficult as my other courses,way less work than my other courses,I do not attend weekly sections,Assignments
"the assignments, they are very useful",Nothing so far,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Assignments, Office Hours, Piazza"
I like making plots in Python,Lectures feel like common sense material or just basic statistics that I've already learned. I feel like the final project is un structured. Perhaps it was designed like this to allow students more flexibility in coordinating to work on it though.,way easier than my other courses,way less work than my other courses,I do not attend weekly sections,Assignments
,,somewhat easier than my other courses,somewhat less work than my other courses,I attend section occasionally,"Assignments, Piazza"
Looking at the case examples,The statistics part of lectures which is necessary for us to learn but is kind of boring ,somewhat easier than my other courses,somewhat less work than my other courses,I attend section occasionally,"Lecture, Section - Workbooks, Assignments"
Learning and reinforcing my data science skills,Lecture Case Studies,somewhat easier than my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
The assignments are interesting. ,I am still pretty unsure how to start my project. ,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Section - Workbooks, Assignments, Piazza"
I have enjoyed the lessons,The lack of direction on python usage,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Section - Workbooks, Piazza"
"I enjoy the flexibility of the class attendance policy, as I learn best through the podcasts and this class doesn't penalize students for this learning style preference.","I'm not a big fan of how the assignments often have many questions that need to be looked-up from alternate sources, since when learning a new concept, many of these sources lead to contradictory information that just confuses a new learner even more.  ",about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Assignments, Piazza"
I think the assignment where we get to manipulate data. ,Some of the lectures aren't as interesting when its not very interactive.,about as difficult as my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Assignments, Group Project, Piazza"
I really like the techniques discussed in class. They are intuitive and could be very useful in the future.,Not much! Keep up the great work : ),somewhat easier than my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),"Lecture, Assignments, Piazza"
"clear lectures, good instructions on hw",nothing,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
,,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
Freedom,Hands free project guidance,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Assignments, Group Project"
Assignments are not coding intensive and give leading information. Very helpful in the learning process when I turn to google for detailed information. ,I’m sometimes worried I’m learning incorrectly using information from the internet. ,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Assignments, Piazza"
"I actually really like doing the homework assignments. Though they're long, I feel like the way you separated the entire into mini-problems cuts down the feeling of the homework being too long.",I still feel a little lost with the group project. I wish their was a little more guidance in the beginning; I would have loved a quick 1-on-1 with one of the TA's to make sure my group was going into the right direction.,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Assignments, Piazza"
Learning different stuffs all the time,the groups are randomized. Class pace too fast,somewhat more difficult than my other courses,somewhat more work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
seeing how python is used in real situations like data analysis,"group projects, its hard to work together given all of us have different responsibilities and schedules",somewhat more difficult than my other courses,somewhat more work than my other courses,I do not attend weekly sections,"Assignments, Office Hours, Piazza"
"Easy going lectures, practical use",I’d like some of the lectures to help with hw,somewhat easier than my other courses,somewhat more work than my other courses,I attend section occasionally,"Lecture, Section - Workbooks, Group Project, Piazza"
The final project,Not being able to pick teams,way easier than my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),"Section - Assignment Help, Section - Workbooks, Assignments, Group Project, Office Hours, Piazza"
"The thing about data science, the homework is fun and need some search",,somewhat more difficult than my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Section - Assignment Help, Assignments, Group Project"
,,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,Piazza
I really like the helpful tutorials on how to use Python libraries,"The API pages for Python are somewhat confusing (and at times outdated) because of the unnecessary optional parameters, and so I wish that there was a more helpful way to understand the proper usage of some library functions, especially for plotting graphs.",somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Section - Workbooks, Assignments, Group Project, Piazza"
applying concepts in class to the group project,none,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Section - Workbooks, Assignments, Piazza"
,,about as difficult as my other courses,somewhat less work than my other courses,,Assignments
,,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Section - Workbooks, Assignments, Group Project"
,,about as difficult as my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Lecture, Section - Workbooks, Assignments"
"The assignments! That's not a statement I would normally make regarding most classes, but it has genuinely been thrilling to learn python through these assignments, I feel like with every assignment my knowledge increases exponentially! Struggling with questions can be frustrating to say the least, but when I actually get past them it's the best feeling.","Feeling a bit lost with the final project, the lack of structure is daunting.",about as difficult as my other courses,way more work than my other courses,I attend section occasionally,"Lecture, Section - Assignment Help, Assignments, Piazza"
,,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Assignments, Office Hours"
"Learning useful skills for data analysis, data mining, web scraping, and also how to conduct a better data science analysis project starting from hypothesis, to final conclusion. Especially the two case study where Dr. Ellis went through the whole process of what we should do during a project. ",Everything seems good so far.,about as difficult as my other courses,somewhat more work than my other courses,I attend section occasionally,"Lecture, Assignments, Group Project, Piazza"
Both the sesion workbooks and the assignments have been very helpful.,No complaints :),about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Section - Workbooks, Assignments, Office Hours"
I've liked getting to learn about data science and how to visualize stuff with python,The lectures are kind of boring,somewhat easier than my other courses,somewhat less work than my other courses,I attend section occasionally,"Lecture, Section - Workbooks, Assignments, Piazza"
The topics,Notbing,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments"
Data Wrangling and applications,No guest lectures yet,somewhat easier than my other courses,way less work than my other courses,I do not attend weekly sections,"Lecture, Assignments"
The discussion about real world topics,The real world topics don't apply to what I know about,somewhat easier than my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),Assignments
How to parse date,Nothing!,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
The ability for us to go back and look at the code presented in lectures via the Jupyter notebooks.,I somewhat dislike that I sometimes find it difficult to take notes during lectures when the lecture slides (both PDF and Jupyter notebooks) are clicked through quickly.,somewhat easier than my other courses,somewhat less work than my other courses,I attend section occasionally,"Lecture, Assignments, Piazza"
Learning how to scrape data from websites,The lack of understanding of why I missed points on assignments,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Section - Assignment Help, Section - Workbooks, Assignments, Group Project"
The PA's. Coding in Python is both rewarding and fun to learn.,"Nothing. The course has been great, taught at a good pace, and assignments are both challenging and rewarding. ",somewhat more difficult than my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Assignments, Group Project, Piazza"
The juypter notebook assignments are fun.,I don't like working in a group that I'm forced into.,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Assignments, Piazza"
"I like that the assignments are fairly doable with lecture material and from a bit of referencing of the tutorials/section workbooks. This is a sign of a good course; in some of my other courses, the assignments are poorly worded or effectively require us to ask many questions of the professor in office hours before we can even attempt the homework.","I felt the grading of the project proposal was a bit harsh. I was under the impression it was more of a rough draft, and as long as we put in reasonable effort in crafting a question, finding data, and analyzing some potential problems, we would get more credit. I will definitely bring it up in office hours.",about as difficult as my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
I learned how to better understand and visualize data/what I'm seeing,Speaking is kind of too fast.,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Section - Workbooks, Group Project"
"The support that's offered and the flexibility. The lecture material is clear, planned well, and presented well.",,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,Lecture
Seeing the code work properly and seeing different cases data science is used in,The lecture style as it focuses too much on case and less about teaching students how to use python to get the data they want,somewhat more difficult than my other courses,somewhat more work than my other courses,I attend section occasionally,"Section - Assignment Help, Assignments, Piazza"
hands on experience coding. Professor did such a good job about teaching how to program and gave great examples in class.,Sometimes its hard to understand and she tends to go pretty fast sometime,about as difficult as my other courses,somewhat more work than my other courses,I attend section occasionally,"Lecture, Section - Assignment Help, Assignments, Piazza"
Case Study lectures,It's hard to see the relation to topic lectures and final projects,way more difficult than my other courses,somewhat more work than my other courses,I attend section regularly (almost every week),"Section - Workbooks, Piazza"
"Learning about python, even though this class has a very specific application of python libraries.",How some of the assignments aren't very clearly worded.,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Assignments, Group Project, Piazza"
Python is fun and using Jupyter notebook is very interactive.,Randomly assigned final project teammates.,about as difficult as my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Lecture, Assignments"
The assignments are like brain teasers and I enjoy solving them,The group I'm in has kind of relegated me to an editor role because I'm the only native speaker and don't have as much of a coding background as other people in the group.,somewhat easier than my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Assignments, Piazza"
Code works.,Sometimes the code does not work.,somewhat more difficult than my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Lecture, Section - Assignment Help, Assignments, Office Hours"
,,somewhat more difficult than my other courses,way more work than my other courses,I do not attend weekly sections,Assignments
#NAME?,"- Group project, team members who aren't proactive/don't contribute their ideas and team members who disagree with a lot of things and overpower others' ideas with their own (but I can deal with it) 
- Technical lecture notes are hard to study/learn from sometimes due to the length and clutter (perhaps a ""cheat sheet"" of all the useful python functions for each purpose could be helpful)",about as difficult as my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),"Lecture, Assignments, Piazza"
I really enjoy how the assignments are designed. The notebook really helps having benchmarks. ,Wish there was more python review in lecture for  first week or two,somewhat more difficult than my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Section - Workbooks, Assignments, Group Project"
"So far, I have enjoyed the practice of using Python for the assignments the most.",I have liked the number of lectures per week the least.,way easier than my other courses,somewhat less work than my other courses,I attend section occasionally,"Assignments, Group Project"
I love python. I am interested in web scraping.,No finals,about as difficult as my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Lecture, Section - Assignment Help, Assignments, Piazza"
Assignments. They help me to understand the course materials a lot better so far.,Final project with a bunch of random people. Building the chemistry within the team is pretty challenging.,way easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,Assignments
The lectures are very clear and Prof. Ellis does a good job in delivering the material.,The second assignment is too long!,way easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Office Hours, Piazza"
group project and creative freedom to choose any topic interested in,"the course website is poorly organized, it’s difficult to navigate the github repo to find information ",somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,Assignments
the hands on assignments,none,somewhat easier than my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Lecture, Assignments, Office Hours, Piazza"
,,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Assignments, Group Project, Piazza"
I enjoyed how easily understandable the instructor was in explaining the material. ,None so far ,somewhat easier than my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Section - Assignment Help, Section - Workbooks, Group Project, Piazza"
,,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Assignments, Group Project"
Looking at the interesting datasets provided for the group project.,The low informational content of lecture.,way easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,Assignments
I like the case studies because it gives examples of how our project should be done. The class in general is really interesting because I'm interested in data science. ,I find that the class moves kind of fast. It's hard to take notes during lecture. ,somewhat more difficult than my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Section - Assignment Help, Section - Workbooks, Assignments, Group Project, Piazza"
"Assignment, easy to follow, and really learn a lot from it ","group work, hard to find an good time for everyone",somewhat easier than my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
Assignments are excellent practice for using python on data processing. Detailed help files and instructions. Learnt a lot.,,somewhat easier than my other courses,somewhat less work than my other courses,I attend section occasionally,"Section - Assignment Help, Section - Workbooks, Assignments, Group Project"
I have enjoyed doing the case studies the most. I think it's a great way to apply the technical skills we've learned that's super engaging.,I think sometimes it's not as helpful when we go over the code in class and how to use the different packages because we go through it so quickly its hard to actually absorb how to use it and the proper syntax.,about as difficult as my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),"Lecture, Section - Assignment Help, Section - Workbooks, Piazza"
assignments are insightful.,"the project is really open ended and working with assigned people has been difficult, especially with scheduling.",about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Section - Workbooks, Assignments, Piazza"
The lectures are informational and the assignments are interesting without feeling insurmountable. ,"The group work is stressful, especially because of the proportion of the grade taken up by the project. Coordination can be difficult despite the best of intentions on each member's part, and losing several points on the proposal felt devastating when my group believed that we had satisfied the requirements. ",somewhat more difficult than my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Section - Workbooks, Assignments, Piazza"
"I enjoy the fact that the assignments are not due weekly, but rather bi-weekly. It's a lot less stressful to turn in coding assignments weekly.","I think the fact that groups were assigned randomly is something I don't like very much because there's an aspect of not being able to meet up to talk about important things as much as I would like to. Meeting up would make things a lot easier but I think because everyone has their own busy schedule, it's really difficult to coordinate meetings at times. I would have preferred to group with people I know that I can communicate with from the start.",somewhat easier than my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),"Lecture, Section - Workbooks, Assignments"
,,somewhat easier than my other courses,somewhat less work than my other courses,I attend section occasionally,Assignments
I like the way the homework is structured. It makes the assignment a lot more expectable.,The group assignment. I believe that the random teammate assignment is putting way more pressure than I expected coming into the course as most of my teammates have little to no experience with coding. ,somewhat easier than my other courses,somewhat more work than my other courses,I do not attend weekly sections,"Assignments, Piazza"
,,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Assignments, Piazza"
Homework helps a lot,"Lecture goes too fast, covers tons of materials",somewhat more difficult than my other courses,somewhat more work than my other courses,I attend section regularly (almost every week),"Section - Workbooks, Assignments"
"the assignments - super clear and explained well, it's like solving a puzzle",the group project - some of my group members were non-responsive even when it came close to the proposal deadline,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,Assignments
,The professor talked a bit fast,about as difficult as my other courses,somewhat more work than my other courses,I attend section occasionally,"Lecture, Assignments, Group Project"
learning about how to structure data science questions/how to formulate graphs/data from the specific case days,the group project,way easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
"Lectures go through the process of doing data science projects step by step, which are really helpful.",,somewhat easier than my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Section - Assignment Help, Section - Workbooks, Assignments, Piazza"
statistics model,case study,about as difficult as my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Lecture, Section - Assignment Help, Section - Workbooks, Assignments, Group Project, Piazza"
Datahub homework. I like how I apply what I am learning.,"The example for EDA, for international students, I feel the topic of congress and newspapers readership is not so engaging as we lack the background knowledge of these. I did not even know about the composition of the congress and pulitzer prize. A lot of my friends said these two are not interesting to them as well.",somewhat easier than my other courses,somewhat more work than my other courses,I attend section occasionally,"Lecture, Section - Assignment Help, Section - Workbooks, Assignments, Office Hours"
,,somewhat more difficult than my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Section - Workbooks, Assignments, Group Project, Piazza"
I enjoy the programming assignment because I prefer self-study,The lecture. I don't like attending the lecture.,somewhat easier than my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),Assignments
The way that data can actually be manipulated magically by codes,The topics the data is about in the case study is always about politics,somewhat more difficult than my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Assignments, Group Project, Piazza"
,,way more difficult than my other courses,somewhat more work than my other courses,I do not attend weekly sections,Lecture
"I like the application part of the course. I am able to not only work on the coding part of data science, but know why what I am doing is applicable in the real world. Also, the group assignment is enjoyable because I am working on a real-life project with the concepts learned in class. ",Some part of the assignments are vague and I am not really sure how to approach the problem. So I have to make Piazza post and wait for a response before moving on. I think if the directions were a little bit clearer it would help. ,about as difficult as my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Group Project"
Lectures because I’m new to Python and professor teaches a lot in lectures.,Project because we need to deal with tons of data.,about as difficult as my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Lecture, Assignments, Piazza"
practical aspect,not a lot of explanatioins how to execute different things in python,somewhat easier than my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),Section - Workbooks
team work,step by step study,somewhat more difficult than my other courses,somewhat more work than my other courses,I attend section occasionally,"Section - Workbooks, Group Project, Office Hours, Piazza"
Learning how to use pandas,The write up for the the project proposal,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Assignments, Piazza"
,,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,Assignments
Assignments encourage learning.,"Personally, I don't like discussing-style lecture.",about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,Assignments
"In cogs108, we always can explore the interesting element in the dataset. And sometimes , the result based on programming is so different from what we expect. I really found this fact quite interesting. ",,way easier than my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),"Assignments, Group Project"
I really have enjoyed doing the hw. I've been wanting to learn python and I think the hw is a good way to start.,Working on a group project. I think i would prefer an individual project or more hw.,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Section - Assignment Help, Assignments, Piazza"
My project group ,The assignments :(,somewhat more difficult than my other courses,somewhat more work than my other courses,I do not attend weekly sections,"Group Project, Piazza"
I liked the discussions -- people have great ideas about how to do stuff.,"The class is a bit too big, and lectures tend to be noisy.",about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Section - Workbooks, Assignments, Group Project, Piazza"
Case Studies,Pace of the flass,somewhat more difficult than my other courses,way less work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Group Project, Piazza"
Individual Python assignment are pretty useful for the final project,Not having the option to pick your group for final project,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Section - Assignment Help, Section - Workbooks, Assignments, Piazza"
Learning how to apply data science techniques to a project I'm interested in. The group project really has me thinking about how to analyze and deal with big data in a setting that I'm interested in.,The lectures are really difficult to pay attention to the entire time. Switching between python and actual lectures makes it hard to take notes and I find myself getting into one thing and then being jerked out of it. I also don't really like how the lectures teach the code but I don't know if there's a way to improve it.,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Assignments, Group Project, Piazza"
PA is useful!,Group project. I understand why we got random members but I still believe forming group by ourselves will work better.,way easier than my other courses,somewhat less work than my other courses,I attend section occasionally,"Lecture, Assignments"
It covers the whole process of data science,Assignments can be more frequent,way easier than my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Lecture, Section - Assignment Help, Section - Workbooks, Assignments, Piazza"
We learned a lot of different ways to analyze data.,,somewhat easier than my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),"Lecture, Assignments, Group Project"
Learning Python,Having to go to lecture and work in groups,somewhat easier than my other courses,somewhat less work than my other courses,I attend section occasionally,"Lecture, Section - Workbooks, Assignments, Group Project"
"I enjoy every homework I did, I think it is not too hard, but it let me know about some python knowledge. ",I did not really enjoy the group project. I think a lot of people in my group are very good at python. But I am a beginner. They do not really listen to my opinions.,somewhat easier than my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),"Assignments, Piazza"
The fact that attendance is not mandatory and how clear and precise the professor lectures,The projects; specifically how they're all brand new libraries ,somewhat more difficult than my other courses,somewhat more work than my other courses,I attend section regularly (almost every week),"Section - Assignment Help, Section - Workbooks, Assignments, Office Hours, Piazza"
The final project and group work,The assignments. There should be a clearer tutorial for python.,somewhat more difficult than my other courses,somewhat more work than my other courses,I attend section regularly (almost every week),"Section - Assignment Help, Section - Workbooks, Group Project, Piazza"
I have enjoyed getting to know people in the class,How long it takes to get some questions answered and that IA's seem to not be able to answer a lot of the questions regarding logistics,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Section - Assignment Help, Group Project, Piazza"
"I like the assignments a lot, and I think they are fun to do. ","I don't like having to work in a group for the project, I generally prefer to work alone.",somewhat easier than my other courses,about the same amount of work as my other courses,I do not attend weekly sections,Assignments
"the topics are well organized, and the professor gives real world examples in the lecture.","The lecture is fast for me. also, one case study was about politics which I have very little knowledge about, so I think general topics like the second one which was about newspapers are easier to understand.",about as difficult as my other courses,somewhat less work than my other courses,I attend section occasionally,"Lecture, Assignments, Piazza"
I have enjoyed having programming assignments that have questions that require minimum amounts of code per question. Allows you to learn what each bit of code actually does and on how not to make things too complicated.,Working on a group where I have to use data science with a topic that I could care less about.,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Assignments, Office Hours, Piazza"
The data coding process. Really learn a lot about Python in the class,"Nothing, the class is awesome.",about as difficult as my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Lecture, Assignments, Group Project, Office Hours"
I have enjoyed getting the ability to practice python with respect to large data science questions.,There is nothing that I like least about the class. ,somewhat easier than my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Section - Assignment Help, Section - Workbooks, Assignments, Piazza"
,,somewhat easier than my other courses,way less work than my other courses,I attend section occasionally,"Section - Assignment Help, Section - Workbooks, Assignments"
I enjoy the homework assignments a lot because they involved applying practical programming skills.,"I don't really like some of the lectures, that's because a lot of it has been review for me. The lectures themselves are actually good lectures in my opinion though.",somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments"
,,about as difficult as my other courses,somewhat more work than my other courses,I do not attend weekly sections,"Section - Workbooks, Assignments, Group Project, Piazza"
,,about as difficult as my other courses,somewhat more work than my other courses,I do not attend weekly sections,"Section - Assignment Help, Assignments, Group Project, Piazza"
Final Project,N/A,way easier than my other courses,somewhat less work than my other courses,I attend section occasionally,"Lecture, Section - Assignment Help, Assignments, Group Project, Piazza"
I've really enjoyed the PA assignments. I like the problem solving aspect to it.,I have most disliked the assigned final project group. I find that it brings a lot difficulties and to what would be a fun and engaging project.,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
Sections are very helpful,Lack of Python instructions :(,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Section - Assignment Help, Assignments, Piazza"
Lectures are great,,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Assignments, Group Project, Piazza"
Doing Assignments,Doing Assignments,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,Piazza
Doing Assignments,Doing Assignments,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,Piazza
It was interesting to learn about correlation vs. causation. ,Data wrangling,somewhat more difficult than my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
Professor explains very clearly.,Probably the homework.,somewhat easier than my other courses,about the same amount of work as my other courses,,"Lecture, Section - Workbooks, Assignments, Group Project"
