enjoyed_most,enjoyed_least,quiz_number,quiz_questions,a1,a2,proposal
I have really enjoyed the data science examples we have used in class so far. In some cases I can see how doing these data science tasks can solve real world problems and I enjoy that the most.,"I have least liked the pace of the class. For the first few weeks, everything seemed to be going off at a good pace, however, I feel now that we are moving a bit fast. ",The number we've had is about right.,I think they've been fine generally and would keep them as is.,4,6,5
"I've enjoyed learning the nuance of DS, like how to best present data, because my programming background is with the CS department where the courses are much more coding/data structures based ","Working on the group project, it has been difficult logistically for us to work on the project",The number we've had is about right.,I think they've been fine generally and would keep them as is.,5,8,5
I  enjoyed learning to write programs and performing data analysis using python on the datahub. ,,The number we've had is about right.,I wish they were more straight from the notes/videos.,3,4,3
"I enjoyed the way Professor designed the lecture materials. She first gave a big picture of data science and then go deep into details. I now have a brief idea of what does it like to do a research in data science. Before taking this class, I had no idea at all. ","There are too many quizzes, although manageable. Some questions in the first two weeks' quizzes are too detailed. ",There should be a couple less.,I think they've been fine generally and would keep them as is.,4,4,6
Learning python,Tricky canvas quiz questions,The number we've had is about right.,I wish they were more straight from the notes/videos.,3,4,5
I've enjoyed getting to know the students in my group. They're really smart and interesting and it's nice to feel less alone in this class. ,I miss raising my hand and asking questions in real time. ,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,6,3
hands on work with data visualization and data wrangling!,The video quizzes being due the same day the video is released. It's been ok so far but the asynchronicity of my classes has made scheduling myself to do these quizzes sometimes difficult.,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,2,3.5
I think the project part,I like everything,The number we've had is about right.,I wish they required more depth in thinking/critical skills.,1,2,2
working with my group,A1,The number we've had is about right.,I think they've been fine generally and would keep them as is.,5,6,4
I like how professor Ellis is very accommodating to all her students. She presents information concisely and facilitates learning. I also feel like my data visualization has improved.,"I'm just mad I saved this class for last because it's the last class I need before graduating. Overall really great course, lectures are easy to follow, and assignments are fun.",The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,1,1
working with partners about cleaning datasets and think about ways to structure them,N/A,There should be a couple less.,I think they've been fine generally and would keep them as is.,2,3,5
I've enjoyed how much of the class has been taught through analyzing examples. ,"A few of the quizzes had questions that weren't related to the material discussed in the lecture (the data viz lectures, iirc)",The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,1,3
"I'm a beginner in coding, so I like see the power of what python can do in terms of what we learn in our assignments.",I feel like I'm learning very slowly and I'm worried my level of coding is making it hard for me to contribute a lot for my group.,There should be a couple less.,I think they've been fine generally and would keep them as is.,1.5,5,3
N/A,Doesn't feel like the hw and lectures are solidly connected,There should be a few more.,I wish they were more straight from the notes/videos.,2,3,3
I have enjoyed the coding assignments because I'm learning how to code pandas and learn about data science in the process.,What I have like the least about COGS 108 has been having to write the project proposal. I disliked that because I feel like I didn't have enough knowledge of the tools I'm able to use for the project in order to form a plan on what topic I was choosing. ,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,3.5,3
Learning about Pandas and Data Science!  I've always been familiar in Python but never used any data analysis tools. ,Honestly. I wish that the reading quizzes had unlimited time. I don't see a reason to add such a short time period other than to make it more difficult. ,There should be a couple less.,I think they've been fine generally and would keep them as is.,1,1.5,3
I am enjoying the ability to do a project with a group the most. I also really appreciate the flexibility we have in terms of when to complete the quizzes.,"I am struggling the most with the fact of how hard it can be to handle work for both the project, the lectures, the quizzes, and the assignments. The project takes many more hours than expected, and so far the only thing that keeps me going and makes me prioritize this class over others is my interest in the project. It could help a lot to have a bit more guidance on our projects, so that we can stay on track with time and find resources on time. ",The number we've had is about right.,I think they've been fine generally and would keep them as is.,6,4,4
Using datahub to see applications of the material we are learning,"Nothing, I am really enjoying the class so far!",The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,1,3
The assignments,"Things in the assignments are not always explained in the lectures so I get confused as to how to do some things in the assignment, especially more complicated things.",The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,7,7
I enjoy the pace of the class thus far. I enjoy how the class does not assume much prior knowledge despite the fact that it is possible many individuals joined the class with said prior knowledge.,"The sudden change in assignment due date frequency. I know that the schedule made it clear when assignments were due, but I was used to the two week gap between each assignment and now there is a one week gap.",The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,2,3
"I really enjoy the introduction to Python, data science, and jupyter notebooks. As a computer science major, I have yet to take any data science courses, but I am aware computer science is heavily involved in data science and I am glad this class has introduced me to field to see if I enjoy it. As someone who has also never coded in Python before, I think its useful that I am being introduced to the language. Lastly, knowing of Jupyter Notebooks for so long, I am glad to finally be learning the tool.","I find it generally quite hard to focus on the videos. Lastly, I think there is a lot of pressure to perform well on the quizzes and they often have questions that are a little tricky.",The number we've had is about right.,I wish they were more straight from the notes/videos.,2,2,4
structure and organization of the course,Project proposal instructions were ambiguous,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,3,4
,,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,5,3
learning codes in Jupiter notebook ,Prof introduces little codes,The number we've had is about right.,I wish they were more straight from the notes/videos.,2,2,4
,,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,4,8
The assignment part. I think it is great for practicing coding expertise ,the video quiz part. I think sometimes questions were very tricky and cannot represent the material we learn,There should be a couple less.,I wish they were more straight from the notes/videos.,1,1.5,1
I think this course is really useful since I learned how to use github and different ways to proceed informations.,I think the assignment has too low total score and it causes 1 point deduction on the total grade if we got 1 point deducted on one homework.,There should be a couple less.,I think they've been fine generally and would keep them as is.,2,2,3
I learned how to use github and how to process data using pandas which is very useful since I am in data science major.,I think the assignment takes a very large part on total grade and have too low total points for each assignment. Therefore 1 point deducted on one assignment will cause one point deducted on the total average grade.,There should be a couple less.,I think they've been fine generally and would keep them as is.,2,2,3
,,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,2,6
every quiz and lecture are helpful and I enjoyed doing project a lot.,I like everything,The number we've had is about right.,I think they've been fine generally and would keep them as is.,5,6,8
I really enjoyed the group project since I am able to interact with other students.,I don't really like the weekly quizzes although I do understand that they are necessary.,The number we've had is about right.,I wish they were more straight from the notes/videos.,2,3,3.5
The jupyter notebooks they are very easy to interact with and I enjoy the coding we do on there.,"Learning git, github, and anaconda. Not especially a bad thing--it was just on the more difficult end for me",There should be a couple less.,I think they've been fine generally and would keep them as is.,5,4,2
"formulating a data science research question with my group, completing the assignments",trying to actually find data sets for the project,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,4,3
I like that the lectures are posted before the weekend so that I can watch them over the weekend when I have more free time. ,"I dislike the ambiguity of some questions because it felt like some of the 'select all that apply' could have more or fewer answers depending on how the question was considered. However, I feel like last week's was definitely less ambiguous. ",The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,4,5
"I know next to nothing about coding (save for writing loops and what I have so far learned in this class), and yet this class has already put the idea in my head of maybe wanting to be a data scientist. I enjoy the fact that the professor seems to have communicated the practice of data science effectively, and from the persuasive perspective of someone who enjoys doing it. Genuinely, thank you Professor Ellis for turning my most feared class of the quarter into my favorite one. ",Nothing that quickly comes to mind.,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,4,3
the ease of doing lectures and quizzes,,The number we've had is about right.,I wish they required more depth in thinking/critical skills.,3,3,2
"Working with my group mates, this is my first time doing a data science project and it has been fun working with them and learning more",The online format could be better. More interaction with students is what I mean. It is hard to do it through canvas so not really a complaint but just my opinion.,The number we've had is about right.,I wish they required more depth in thinking/critical skills.,3,5,5
I like that we actually get to do hands on project with the class and apply the techniques we learned in class,"Not about COGS 108, but I probably should have waited a bit to refine my coding skills a bit more before I take this class.",The number we've had is about right.,I think they've been fine generally and would keep them as is.,4,3,2
"Python, interesting lectures and guest speaker, ",The proposal took a long time to be returned. I want it to be returned soon so I can send out surveys which will take a long time,The number we've had is about right.,I wish they were more straight from the notes/videos.,2,3,3
I have learned how to deal with data and that is amazing.,I can't think of anything that I do not like in the class.,There should be a couple less.,I wish they were more straight from the notes/videos.,4,4,3
I really like the coding portion from the assignments,"Maybe deadlines for things can be extended til saturday and not just friday. For this week, we have the daily quiz and the A3 due on the same night.",The number we've had is about right.,I wish they were more straight from the notes/videos.,2,2,2
"I am enjoying the Python applications of what we're leaning about statistics. I've spent time learning about it in theory, but using it in practice is always cool to implement and see. I've done so before with Math 185 in R, but Python feels more approachable for most people so it's interesting to try it there.","I dislike how quizzes are graded. For most of my other classes with quizzes, they are graded for effort, which usually means if you scored a certain percentage of the quiz correctly (e.g. 75%) you get full points. Having a leeway of 10 points to cover for a missed week coupled on with points lost due to minor errors in quizzes can add up by the end of the quarter and make somewhat of an impact on the final grade.",The number we've had is about right.,I wish they were more straight from the notes/videos.,2,3,3
,,There should be a couple less.,I think they've been fine generally and would keep them as is.,3,3,2
"I've enjoyed learning about data viz and how to use it, especially with the different libraries.",I've disliked the project proposal because the topic was not very interesting to me.,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,1,2
Learning to use python libraries to be able to actually do practical data science projects. Using the libraries like pandas and seaborn have helped me in my familiarity with these packages and confidence in performing more data science projects in the future. ,,There should be a couple less.,I think they've been fine generally and would keep them as is.,2,3,6
Learning various data science packages in python and their applications. This course’s lectures videos are by far the most succinct yet informational out of all my classes. ,"Learning how to use Git commands was definitely difficult despite carefully watching the lecture videos about that topic. The commands seem straightforward in lecture, but in practice doing a simple commit push was very ambiguous in practice since the UI is very complicated and everyone’s personal machines are different. ",The number we've had is about right.,I wish they were more straight from the notes/videos.,1,1,3
Learning various data science packages in python and their applications. This course’s lectures videos are by far the most succinct yet informational out of all my classes. ,"Learning how to use Git commands was definitely difficult despite carefully watching the lecture videos about that topic. The commands seem straightforward in lecture, but in practice doing a simple commit push was very ambiguous in practice since the UI is very complicated and everyone’s personal machines are different. ",The number we've had is about right.,I wish they were more straight from the notes/videos.,1,1,3
Project work,The guest lecture ,The number we've had is about right.,I wish they were more straight from the notes/videos.,1,2,5
The guest lecture,I wouldn't say I don't like it but I feel unprepared as of now for the group project.,There should be a couple less.,I think they've been fine generally and would keep them as is.,0.8,1.2,3
Cool visualizations of data.,Learning new tools.,The number we've had is about right.,I wish they were more straight from the notes/videos.,1,2,10
"I have enjoyed the structure of this class. I love being able to take the quizzes and finish the programming assignments at my own pace, within reason.","My least favorite part of the class might be working on the final project. It's definitely the hardest part of the class for me. I love working with my group, but the work expected from me each week has been slightly overwhelming. With it already being Week 5, I feel like we haven't made much progress, and I'm feeling a lot of pressure. In addition, the final project is so open-ended that it gives us more chances to make more mistakes in our project.",The number we've had is about right.,I think they've been fine generally and would keep them as is.,1.5,2,3
"I have enjoyed doing actual hands on work in Jupyter with pandas and dataframe, especially coming from a background of little coding knowledge. ","The quizzes weigh heavy on me because I have used up the free 10 points already and usually, I miss on average 1-3 questions every week, so I am nervous that my grade will continue to drop. ",The number we've had is about right.,I wish they were more straight from the notes/videos.,10,15,2
,,There should be a couple less.,I wish they were more straight from the notes/videos.,2,4,8
"I think I've enjoyed getting a more hands on experience with the coding aspect of the class, even though it is kind of difficult. It gives me experience with Python that I think is valuable both in class and outside the class too. I do especially enjoy the take home quizzes that makes the class easier to engage with the material. ","The quizzes can sometimes have some vague questions, but overall I think the quality of the quizzes is fine and it is just a nitpick. ",The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,2,3
i enjoy the teaching style and pace. short video draw my attention that i do not easily lose my interest on those topics and the quiz are helpful for learning knowledge,the quiz should not set a deadline bc sometimes too busy to finish on time ,There should be a way less.,I think they've been fine generally and would keep them as is.,2,3,3
,"The amount of work, pace of the course, and lack of connection between python notebook and lecture videos/notebooks.",There should be a way less.,I wish they were more straight from the notes/videos.,3,5,4
Assignment,Too many quizzes,There should be a couple less.,I think they've been fine generally and would keep them as is.,2,3,4
Clear lecture vide,Some hard concepts,The number we've had is about right.,I wish they were more straight from the notes/videos.,3,3,3
"I've enjoyed working with my group to navigate the details of our project. We are all new to data science, so the process of learning and researching has been fun. ",,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,1.5,4
I really like learning about pandas dataframe and how to work efficiently with data,"the quizzes sometimes have some tricky questions where I am overthinking and think it can be two option choices, and sometimes end up getting it wrong. Regardless, I like the material a lot! ",The number we've had is about right.,I wish they were more straight from the notes/videos.,3,4,5
yes! The course content is useful and group project is fun!,"The course quiz, some question are weird like word play, not testing for understanding ",The number we've had is about right.,I wish they were more straight from the notes/videos.,1,1,5
The assignments are very useful for learning new skills.,,The number we've had is about right.,I wish they were more straight from the notes/videos.,2,2,3.5
the python programming,the quizes,There should be a way less.,I wish they were more straight from the notes/videos.,3,3,1
The structure of the lectures. Watching videos that are around 20 minutes is more bearable to watch than those that are over an hour long.,No complaints,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,1,1
the class is organized very well,some of the quiz questions have been somewhat unclear or tricky,The number we've had is about right.,I wish they were more straight from the notes/videos.,2,3,4
,The team final project,The number we've had is about right.,I wish they were more straight from the notes/videos.,2,2,2
"The lectures, I like how they are broken down into small chunks for me to digest and understand","I don't understand some basic aspects of pushing, pulling, forking, etc- it gets frustrating in our team when we try to figure it out- but then we end up having to ask friends",The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,3,2
Learning about data wrangling and practicing it,N/A,The number we've had is about right.,I think they've been fine generally and would keep them as is.,4,4,4
"Excellent Lectures, clean and easy access to everything",not sure,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,3,3
"Doing the group project because it’s a data science class, it’s interesting to work together on the specific question we want to answer.",,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,4,5
Learning about constructing straight-forward data frame and carrying out analysis using graphs ,The weekly lecture quizzes,There should be a few more.,I wish they were more straight from the notes/videos.,3,4,3
Learning how to use data science packages in depth,Having to relearn statistics,The number we've had is about right.,I wish they were more straight from the notes/videos.,2,3,3
I enjoyed the project proposal. It was interesting delving into a data science question in that way.,"There are way too many quizzes, it is hard to keep up.",There should be a way less.,I think they've been fine generally and would keep them as is.,2,2,3
I enjoyed to learn the new Python libraries like pandas. I think it will help me in the future in my Data Science projects.,I'd prefer mandatory quizzes to be optional or for extra credit.,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1.5,2,3
I really like the asynchronous aspect of the course.,"Some of the quiz question wordings can be a bit vague, but this is very rare. ",The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,2,3
"Yes. I found COGS 108 is very helpful for my future career, and I can handle most of the materials of it.",It's very easy to lose points. Especially for our final project. I'm confused about how it will be graded.,There should be a couple less.,I wish they were more straight from the notes/videos.,1,1.5,2
The coding assignments. I appreciate how detailed the instructions and its clearly states what it wants us to do.,Nothing so far.,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,2,6
Experiencing the life of  a data scientist. It is a career that I am interested in.,"i think this class is perfect. right speed, good lecture videos. One thing I miss is going to lecture in person but obviously that isnt possible right now.",The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,3,5
The most interesting part of learning in COGS 108 is how much of can be applied to the real world problems. ,My LEAST liked part of COGS 108 are the quizzes they are not always reflective of the material taught and ambiguous.,There should be a way less.,I wish they were more straight from the notes/videos.,3,3,5
"The assignments, they are the hands on portion of what we learn in lecture","One attempt per quiz, laptop has died in the middle of a quiz and by the time I was able to go back to the quiz it was a poor score. ",The number we've had is about right.,I wish they were more straight from the notes/videos.,4,4,5
Learning Python is pretty interesting since I never thought of creating high-quality graphs from coding. ,The syntax was went over fairly quickly and I am not sure I would have to remember the syntax. ,The number we've had is about right.,"Sometimes the pick all that supply is confusing, I hope some of that question is taken out ",2,3.5,2
"I like that the prerecorded videos are clear, concise, and edited down to the important points. ",Sometimes the quiz answers are confusing and vague (people have mentioned it before on Piazza).,The number we've had is about right.,"I think some of the questions/answers should be changed to be less confusing and less ""gotcha"". A mix of the options above is good otherwise.",1,2,7
Self-paced lectures,,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1.5,2,2
I enjoy deciding different kinds of graphs to use with different kinds of data. ,I think sometimes the quizzes are a bit too detailed. ,The number we've had is about right.,I wish they were more straight from the notes/videos.,3,4,5
I love your lectures and how they are broken down. They are super informative and I don't fine myself loosing focus when I am watching them!,"I feel that some of the quiz questions are confusing, but nothing terrible",The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,2,3
The bottom-up approach that assignments take in testing the material. I like how each assignment builds up to a large result (ie A3 with the final graph with linreg plotted).,Nothing,The number we've had is about right.,I think they've been fine generally and would keep them as is.,0.5,1,2
The quizzes after each lecture allow me to truly see whether or not I understand the material that was taught in each video,The homework. It makes me wanna cry,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,10,3
,,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,3,3
The homework assigments,Creating research questions for the project,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,1,3
I enjoyed learning about data science techniques,The amount of lecture quizzes and how they don't show you what you did wrong.,There should be a way less.,I wish they were more straight from the notes/videos.,1,2,3
Jupyter notebook is so exciting!,Video quizes...,The number we've had is about right.,I wish they were more straight from the notes/videos.,2,3,4
Learning how to use jupyter,The rubric for proposal was not clear,There should be a couple less.,I wish they were more straight from the notes/videos.,1,1,3
the freedom to podcast whenever,"The quizzes, they seem abnormally difficult at times",There should be a couple less.,I wish they were more straight from the notes/videos.,2,2,1
I enjoy how informative the videos are,"Group project, I think it has been nearly impossible to gather every member, distribute the work fairly, and achieve the goals that were supposed to be achieved and that has taken a hard hit on my grades",There should be a couple less.,I wish they were more straight from the notes/videos.,2,3,5
"What is a Data Analysis, how the data should be gathered before starting everything, how data should be prepared change my previous understanding of data science.","Github, This is the first time I learn about Github. It sounds so sophisticated to me.",There should be a couple less.,I wish they were more straight from the notes/videos.,6,8,4
What I have enjoyed most about COGS 108 is how learning in this class is not impeded by natural instinct or talent in statistics or programming. Having the actual curiosity itself lends itself as a gateway to solving the problems when you are allowed to google things to experiment with and you have output to verify if your findings align with what is asked.,"The part that I liked least about COGS 108 is the process of finding a group for the final project, as it was difficult for me to find group members when people I asked did not seem to respond right away, while also forgetting to clear themselves from the teammate search once they had their group. I did not want to just ask too many different people and just work with whoever responds 1st in 1st come 1st serve type of manner since I felt I'd be disrespectful to those I bothered to ask, so I waited patiently to get responses from people I heard from 1st. Unfortunately, that costed me several days in the process of finding group members.",The number we've had is about right.,"Questions that have stung the most on my end are application questions that deal with a scenario that many people may not be familiar with (example: I had no knowledge of teen birth rate until this week's lectures, and getting a question on that on 5_05 quiz felt unfair on my end for that reason)",3,4,6
I enjoy the use of code in order to interpret and clean up data. I never knew that there were so many useful functions from programs like pandas and numpy that could streamline so many things.,,There should be a couple less.,I wish they were more straight from the notes/videos.,1,2,1
,,The number we've had is about right.,I wish they were more straight from the notes/videos.,3,5,6
,,The number we've had is about right.,I wish they were more straight from the notes/videos.,2,8,5
Guest lecture! Vivian Peng is awesome!!!,Group project. In progress but seems kind of difficult to me...,There should be a couple less.,I wish they were more straight from the notes/videos.,5,4,3
The data visualization and tools have proven to be very useful. I am currently interning at Qualcomm and I immediately apply the knowledge I use in my work. ,I don't really like the quizzes but I understand their importance to keep content in check. It is preferable to a midterm.,There should be a couple less.,I wish they were more straight from the notes/videos.,2,3,3
Relatively clear expectations and well formatted lectures,"Missing the quiz deadlines, which is mainly my fault. Also the project proposal guidelines were a bit vague ",Should be balanced so that there are not some days with 15 questions and others with just 5,I wish they were more straight from the notes/videos.,4,5,4
"I enjoyed all the lessons on python coding, I know the point of this class is data analysis and not coding, but I really like coding. I also really like the way quizzes and videos are cut into chunks.","For the midterm questions, I didn't like that it was asking for terminology. I'm really bad at remembering terms because there's a lot of terms to sort through in my head so I don't know if it's the one the question is looking for. ",There should be a few more.,I wish they required more depth in thinking/critical skills.,2,2,2
learning pandas. I think pandas would be useful in the future,pandas syntax is a bit weird compared to what I usually write with python,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,2,5
Course video. Really help understand materials while maximize flexibility,One attempt of the quiz,The number we've had is about right.,I think they've been fine generally and would keep them as is.,0.5,1,3
the examples in class,the number of quizzes and length of the assignments,There should be a couple less.,I wish they required more depth in thinking/critical skills.,2,3,1
"The homework, which gives very specific instructions and familiarizes me with the pandas package.",None.,The number we've had is about right.,I wish they were more straight from the notes/videos.,3,3,5
"I enjoy the lectures because although I'm not a Data Science major, it's always been something I've interested in, so it's cool to get exposed to this stuff!",Missing tooo many points on those video quizzes :(,The number we've had is about right.,I wish they were more straight from the notes/videos.,2,4,3
Learning about and working with tools for data science. I've never done data science before so I enjoy working with pandas and analyzing data,Taking quizzes for each lecture video,The number we've had is about right.,I wish they were more straight from the notes/videos.,1,3,2
The fact that it's in Python and we get to work on a project on our own. I love my team's project idea and I think it has motivated me to spend a lot of my off time writing code for it. ,"Course content quizzes. I understand why they're a thing. It gets everyone in the class to watch the lecture videos. But I think the questions on there are way too niche. A lot of the questions don't focus on the general picture of the lectures or sometimes they ask ambiguous questions that may have multiple answers. For example, in one of our recent quizzes, we were asked two questions where we were given scenarios and had to pick the applicable confounding variable. Due to the fact that the question is more qualitative, it is bound to be ambiguous, but I'd be cool if it was a little more clear cut. But then again, it might just be me. ",The number we've had is about right.,I wish they were more straight from the notes/videos.,2,4,3
I enjoyed the assignments and the office hours the most. I love how tutors explain the material so well to me and I hope it was more office hours or some 1-1 sessions. ,"the quizzes are not my favorite. they are not that hard, but sometimes I make stupid mistakes, I hope there was more attempts for quizzes. ",There should be a couple less.,I wish they were more straight from the notes/videos.,12,16,5
I have enjoyed the lectures about data visualization and things to be careful about. I had no idea how important this aspect of data science is.,,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1.5,5,8
,"The quizzes. I feel like sometimes the quiz questions are a bit more advanced from lecture, which can be a good thing, but I don't know to expect it right after just watching the lecture.",The number we've had is about right.,I wish they were more straight from the notes/videos.,2,4.5,3.5
The content I have learned in this course is really practical and useful.,The quiz is a little bit difficult than expected.,There should be a couple less.,I wish they were more straight from the notes/videos.,3,3,5
"coding assignments, they're really fun to do because I feel like I'm applying the knowledge that I learned from class ",The lecture videos keep getting longer and longer and I don't have a large attention span anymore so I feel like I'm not getting a lot of information from them. I think it would be better to break them up into smaller videos of subtopics.,The number we've had is about right.,I wish they were more straight from the notes/videos.,1,1,5
,,The number we've had is about right.,I wish they were more straight from the notes/videos.,3,5,5
the good lectures and style of teaching,Nothing to complain about honestly,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,1,1
I have enjoyed some of the lectures. I think they are interesting and informative. ,"I don't like the quizzes. They don't take me that long to complete the quizzes, however even though I take thorough notes, sometimes the questions are ambigious and are hard to answer, so I have missed a lot of points. ",The number we've had is about right.,I wish they were more straight from the notes/videos.,3,5,2
The most interesting part of learning in COGS 108 is how much of can be applied to the real world problems. ,My LEAST liked part of COGS 108 are the quizzes they are not always reflective of the material taught and ambiguous.,There should be a way less.,I wish they were more straight from the notes/videos.,3,3,5
I actually like the Jupyter Notebook Python assignments as a way to learn about python and panda as I have no previous experience with the language,I think the project is a very daunting task made even more difficult with how groups are now separated. Being able to find a window within multiple student's schedule in the middle of this pandemic (and political chaos) is extremely difficult.,The number we've had is about right.,I wish they were more straight from the notes/videos.,2,4,2
"I love the new topics we cover every week, and they're applicability in our data science project","The remote nature of the class, but there's nothing we can do about it :(",The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,4,4
The assignments are structured in a way that I actually learn the information asked,I was a bit unclear about the individual project proposal when it was initially assigned,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,1,2
,,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,2,2
"Learning how to work with data using Python; lectures, including the guest speaker","Group project; since this is anonymous, to be honest I wish I could have met and gotten to know my members beforehand rather than basically having to choose at random (based on piazza posts), especially since it counts for such a big part of my grade. It's a bit frustrating and kind of unfair imo. Either that or group projects shouldn't count for this much of the grade. It's hard to think these things through at the beginning of the quarter when deciding.  I also don't like that the class is remote; makes everything feel weird, including for group projects. idk

I accidentally submitted A1 late because I initially had a hard time keeping track of everything via canvass in my classes, so that was annoying, especially since I think I ended up getting everything correct. I don't think that's anyone's fault though, just a frustration on my end.

But otherwise I love the class content and class structure and think it's been very well designed. I wish Professor Ellis had more office hours throughout the week.",The number we've had is about right.,I think they've been fine generally and would keep them as is.,8,12,4
,I have not really enjoyed having to take a quiz after every lecture video. I personally find having to take 7-10 quizzes a week slightly excessive but I do see the value in taking the quizzes. ,There should be a couple less.,I wish they required more depth in thinking/critical skills.,0.5,1,4
the short videos every week ,"final project, hard to decide what to do and how to begin",The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,3,6
"How the class is formatted, with no exams and lectures are videos that we can watch on our own time. I like these aspects because I feel less pressured to know everything in the course but am still actively learning.",There is nothing in particular that I dislike about the class.,The number we've had is about right.,I think they've been fine generally and would keep them as is.,6,5,5
I really enjoy the assignments. I find them challenging and fun to work on. ,,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,3,4
,,The number we've had is about right.,I wish they were more straight from the notes/videos.,1,2,3
The homework data were interesting. I didn't know tootsie roll was both fruity and chocolaty.,Some of the quiz questions are just a test on verbatim.,The number we've had is about right.,I think they've been fine generally and would keep them as is.,0.5,0.5,3
The fun and practical approach towards learning.,"The amount of emphasis on ""perfect memory"" for the quizzes. Human error combined with current circumstances kind of make it natural to get less than 95% of all points across all weeks. More ""free points"" or extra quiz questions(similar difficulty, or feedback related, for maybe a couple of points every week) would be helpful.",There should be a couple less.,I wish they were more straight from the notes/videos.,4,3,3
"The mini quizzes and the length of the short videos, but its rich, easily absorbable content. ","The little deductions I get from my assignments, they make me so sad. But I will try my hardest to attend section or office hours to compensate for those small confusions. ",The number we've had is about right.,I think they've been fine generally and would keep them as is.,4.5,4.5,4
,,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,3.5,6
The videos and homework are clear,There are no live lectures,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,2,3
Python,Group meeting,The number we've had is about right.,I wish they were more straight from the notes/videos.,4,3,5
"What I have enjoyed the most about COGS 108 so far are the lecture videos. They take less time than expected to complete, and are split up in a way so that I can take a break in between sets of videos.",What I have liked the least about COGS 108 so far is the group project. Learning the material and completing the assignments on my own is already a lot of work. Having to worry about a different project where you have to depend on other people is too much given the world's current situation and my home environment.,The number we've had is about right.,I wish they were more straight from the notes/videos.,8,4,2
Expanding my perspective on all the different things you can do with data and just how powerful and life-changing data can be. ,I feel like I haven't had enough time to delve super deep into the topics because of my other classes : (,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,4,6
"the python, learning about what makes a data set good, what makes it bad.","Canvas quizzes, It would be better if they were all in one quiz.
Doing them mwf makes it more likely for me to forget to do them.",There should be a couple less.,I think they've been fine generally and would keep them as is.,10,12,15
it's more practical,we don't have interaction with class,The number we've had is about right.,I think they've been fine generally and would keep them as is.,15,10,5
"The assignments are very intuitive and basic and provide me with basic understanding of pandas and all the functionality that will be beneficial for a successful project. Therefore, I have enjoyed the assignments a lot.",The lecture quizzes seem a little bit difficult eventhough I do watch the lectures. Some questions are super specific.,There should be a couple less.,I wish they were more straight from the notes/videos.,0.5,0.5,3
"I honestly really liked the podcast-interview styled guest lecture with Vivian Peng. It was good to see the trajectory of someone's career (academic or otherwise) and how that related to data science, as well as having a few examples of how creativity and data science meet.","The anxiety that comes with the group final project. It's not like my group is doing terribly bad, I just worry about failing and having to take the course again. ",The number we've had is about right.,I think they've been fine generally and would keep them as is.,9,7,6
I like how there is a proper structure to the course.,Project seems to be more time consuming then reasonable.,The number we've had is about right.,I wish they were more straight from the notes/videos.,3,6,9
Python basics.,Quiz questions' answers are sometimes arbitrary,The number we've had is about right.,I wish they were more straight from the notes/videos.,5,5,5
I enjoy most on the material that is on the videos because they are very encouraging and interesting. The videos are where I learn the most. ,The quizzes can be pressuring sometimes. ,The number we've had is about right.,I wish they were more straight from the notes/videos.,4,4,5
