enjoyed_most,enjoyed_least,,,,,
What I enjoyed the most about COGS 108 so far has been the assignments and discussions because I like knowing more about how to use pandas and the operations as I did not have a lot of experience with it before.,What I liked the least about COGS 108 is that collaborating with our teams for the project is a bit tough as some people disappear for a long time and did not really help much for the previous assignment.,,,,,
"I enjoy the consistent and clear communication between the instructors/TAs with the students utilizing Piazza. I appreciate how the responses are quick. Adding on, I enjoy the lecture materials.",N/A,,,,,
"The professor, makes the lec so interesting and makes me want to attend in person",nothing,,,,,
Contents are chill,None,,,,,
"I enjoy formatting the data that we get and making it more easy to understand. I think this is interesting because I think that data is very important, but if we do not understand that data well then it is not as valuable.","One thing that I like least is the inability to choose groups. I think CSE110 was fair with how groups were chosen, they allowed us to choose a partner and then paired 3 random pairs together to form a group.",,,,,
"I enjoyed the assignments the most, I think I learn the most from them and it's easy to follow them step by step.",The group project is really hard to organize and have everyone participate. My group always has at least one or two people missing from our meetings so it's hard to anticipate how much we can get done before the due date.,,,,,
I've enjoyed learning how to code,Not sure,,,,,
"I guess the data handling as I learned more about how to handle, clean, and manipulate data to get what I want from it.",Nothing really.,,,,,
"I enjoyed about learning new data analyzing techniques. I had worked with SQL launched by java only before, so everything we are learning now is pretty new to me.","I don't really like how our labs are not really helpful for finishing the discussion labs. I am not going to the session that I signed up for, but I don't find the session I'm going to helpful. I hope we can have more constructive help in the labs for finishing the discussion labs.",,,,,
learning about different ways to create visualizations and freedom on the final project,not a lot of practice coding during the lecture making the assignments feel a little harder,,,,,
I love learning about pandas because it is such a fun library.,There are many EC opportunities which is awesome.,,,,,
Enjoy the study process.,none.,,,,,
Learning more about coding.,"Code not working, errors, not knowing what is causing those errors.",,,,,
"The labs are perfect, such a great way to learn without beign stressed about the grades","Nothing specific, I think the class is greatly designed.",,,,,
I have enjoyed doing the assignments the most so far! They're very instruction-based and have helped me become more comfortable with python libraries and methods. And also the whole data analysis aspect of it that is involved.,"The labs have been a little lengthy and frustrating... from my experience with COGS 18, I expected the labs to be more straightforward in order to help with the assignments, but it seems to be the opposite in this course.",,,,,
"Solving the homework problems, really gives me insight into what data analysis looks like.",Nothing so far.,,,,,
The lectures and assignments are engaging and easy to access. I also like how flexible the course is in terms of scheduling.,"I can't participate in lectures without an iClicker, and that costs money to purchase. I don't have other classes that need an iClicker, so I'm opting out of that form of extra credit.",,,,,
I enjoy the group project aspect of the class as it allows us to actually apply what have been learning to do some ACTUAL data science,"I don't really like how are the assignments are on data hub, not gradescope etc, but at the same time it is good to get familiar with this environment as I am using it in other classes as well",,,,,
Being able to do the assignments essentially however you want,Very little instruction most of the lectures do a poor job of explaining packages being used,,,,,
The part I have enjoyed the most about this class so far has been getting to look at the projects of groups from prior quarters and seeing the work they did with their own topics they chose to research.,"My least favorite part so far has been the initial phase of getting in contact with the group, though that doesn't have to do with the class or group specifically, so much as just how the process generally goes, and the difficulty of scheduling time where everyone is available.",,,,,
I enjoyed the assignments quite a bit as they seem pretty easy and interesting to do. Specifically working with data frames has been fun.,"I think some discussion assignments like the recent one were too confusing in the wording that it was hard to figure out. In particular, creating graphs is very confusing and I feel like I need to learn more about it.",,,,,
Labs,None,,,,,
I enjoyed in review all the basic pandas/numpy. And I love to learn the data visualization tool.,Sometimes I was facing weird issues when submit my lab.,,,,,
The weekly assignments to keep me up to date with the material.,Lack with integration of LLM's as I feel like this is vital to the current practice of data science. (I could be wrong),,,,,
I found the detail in the assignments very helpful and engaging!,I would like if participation was worth more,,,,,
I like how most of the data science concepts are covered in COGS 108,I think the Python basics took too much time because I think most of people enrolled in this course should have programming experience.,,,,,
The most enjoyful part was making my first pull request. It was a new experience and I enjoyed it a lot,The least enjoyable part was recounting on the python basics,,,,,
"I have enjoyed the visualization of data and getting more familiarized with the pandas and numpy packages. As someone interested in machine learning, which involves lots of data preprocessing, and am working in a machine learning class, it has helped a great deal.","I have not disliked anything about the course so far, just hoping my group project gets through smooth sailing in starting the quarter-long assignment!",,,,,
I think the concept is beneficial for me towards my future career. There are a lot of application that I can use in the future.,I think there are too much work for me to do every week. There are different assignment and quiz for students. It is hard to memorize when to submit which assignment.,,,,,
"I like most about COGS 108's assignments and deadlines, very straightforward.","I think randomized grouping is not very efficient, though I understand that is what it like in working environment. But we can only have fraction of time meeting each week so the whole project is going really slow.",,,,,
I enjoy working on the discussion assignments and the lectures are pretty engaging as well with the Jupyter notebooks.,I think the instructions for the assignments can sometimes be a little vague so it takes longer to understand exactly what the question is asking for.,,,,,
The guidance in the work we have to do has made it less stressful for me. It makes me want to start earlier and work on it because I feel like I can possibly figure it out even though I'm not a strong coder.,"The final project is intimidating, especially with random group members that are sometimes unresponsive or do not seem like they really want to try.",,,,,
I enjoyed learning about Python because it's a new and more commonly used coding language that I did not previously know.,"honestly, the data visualizations because I'm still learning Python so it's been more time-consuming than I predicted but it's not so bad. The group project is also a bit confusing but we're just getting started so perhaps I'll understand more with time.",,,,,
Great pace that I can keep up with. I can follow the lectures along and am learning at the same time.,Having some connection errors with datahub. Not sure how it can be fixed though.,,,,,
I enjoyed the first 2 discussion assignment that wasn't as hard,"Navigating to the material. I usually use computer for jupyter notebook and iPad for pdf lecture. If you can upload the pdf of lecture on canvas, that is much more accessible for me!",,,,,
We learned a lot about how to process data.,N/A,,,,,
"So far in Cogs 108, I have enjoyed learning about how to use different graphs and coding these graphs during our lab and A2 since I feel as this is a necessary tool that we will need to know for our future roles in our professional careers.",I have disliked the group project in this class so far as I believe it may take a long time to accomplish the whole project but am still ready to work with my group and complete it as we have a great start already.,,,,,
"The parts of COGS 108 I have enjoyed the most are:
1. The (optional) engagement/participation in lectures with iclickers, since it feels like more people show up to the class and attempt to learn
2. The option to go to discussion for guidance on labs
3. The detailed instructions within labs and assignments","The thing that I have liked least about COGS 108 is that I had to pay for an iclicker app subscription because I didn't have and want to use the physical kind. I understand that it's not really the instructors' fault, but of course I don't like using up money.

Other than that, everything is fairly smooth sailing.",,,,,
"Working on the project is an enjoyable experience because we have the freedom to select any topic that interests us. This hands-on approach allows us to apply the theoretical knowledge gained from textbooks to real-world tasks, giving us a sense of truly utilizing what we've learned in practical scenarios.","At times, the material covered in COGS108 and COGS189 seems to overlap, particularly during the initial three weeks. However, as the courses progress, it becomes apparent that COGS108 focuses more on data programming.",,,,,
I like the pace of the lectures because it is not so fast.,I don’t think I learned a lot of technical things.,,,,,
I like applying what we learned to assignments and actually working with data in a workbook and seeing it come together,"Nothing in particular, maybe that lectures aren’t spent working on harder material that the assignments showcase, concepts in lect are quite simple but actually applying them is hard",,,,,
"Learning through the labs and assignments. I am more of a hands-on person, so being able to work through it on my own to learn, rather than listen to lectures makes me enjoy the class a lot more.","Sometimes the instructions on the assignment and labs are unclear. Sometimes I worry that I have points knocked off even though all my assert tests pass. I also have never used github before. There was a lecture on it to work through it, but that doesn't guide me through it very well. I have also done the github tutorial, but it still doesn't make sense to me.",,,,,
I enjoy the lectures. It's not boring.,"I hate GitHub. I have no clue how to use it. We have to submit our proposal on GItHub and I'm scared I'm going to mess up. My members also don't know how to so like, it is up to me apparently, which is no shade to them, just like :(.",,,,,
I mostly enjoy using python in order to wrangle data.,The prompts in the discussions and assignments are open ended in regards to the approach we can use which is fine but sometimes what is looked for in the end result is not entirely clear.,,,,,
I like how clear and intuitive the course is structured.,I kind of do not like how the quiz and lab are given out on Friday and due Sunday. I personally would prefer finishing all my assignments during the week days and have some personal time on the weekends...,,,,,
I have enjoyed working on the labs. They provide excellent hands-on practice for the concepts we are covering.,"The fact that we didn't get to choose our own groups, but I understand that choice. Still, it would have been way more fun to work with people I am close with and we could probably finish one of the greatest projects of all time.",,,,,
ATTENDING CLASS. I like the interaction that happens in class,group project.,,,,,
the groupwork,PA's,,,,,
I enjoyed most the systematic learning of using pandas and other python tools to analyze data.,N/A,,,,,
The course provides plenty of opportunity for us to practice.,"While it is a relief that we don't have any exams for this class, I am a bit lost about how to study for this course.",,,,,
I like the pace of the class and how it is structured where we learn about concepts and then get to see them in action in the notebook.,"I wish we could get more insight into the code, some f the discussion labs were more open ended and I had to search up a lot of the stuff.",,,,,
The progress I have been able to make in working with data. Early on in the course I felt very unfamiliar with navigating data but this course has made it very procedural and more easy to know how to approach large datasets.,n/a,,,,,
I have enjoyed doing the lab assignments the most because the questions/tasks are always related to finding something out about the data so it feels like a game and worthwhile; even for someone that has been overwhelmed by coding assignments in the past.,"By the same token, I have least liked the coding aspect but not for the application of it, more like the concept of coding itself. However, it's just a learning curve and a personal challenge it's not that serious of a dislike. I do appreciate that I was fairly warned at the start of the quarter!",,,,,
The guest lectures were insightful in what data science does,it's been pretty good so far,,,,,
I am enjoying learning about the various ways we can represent data visually.,"I think the pace of this class is ok, but it is kind of daunting seeing previous projects and how time consuming they may be. I am worried about time management regarding this class' big project and my other classes.",,,,,
the guest lecture - it was neat to see how data science applies in the industry and to see how someone similar in our position is now in the working world,the labs - these are a lot more work than I anticipated and they sometimes cover material that we did not go over in class,,,,,
I have enjoyed getting to learn about data science and what it entails.,I have liked the least how the labs/assignments descriptions and questions are confusing which makes them hard to understand what it is asking for.,,,,,
"I really enjoy learning more about data science, and I actually enjoy doing the assignments on datahub, specifically something like A2. Those are a bit more guided but it is really helpful in helping me understand specific functions and how to use them.","I'm a bit unsure how we should be pacing our projects and how often we should be meeting. I suppose I'm used to a team project being the main focus of the class, and not so much as a side thing that students have to do entirely themselves. I think having a requirement to go to at least one discussion time would help my mindset about this class, but I realize that it gives students a lot of flexibility with the structure right now.",,,,,
Learning python through datahub,The fact that we cannot choose our groups for the final project. I feel like the groups would mesh better and be able to communicate better if we could choose them ourselves or at least choose some of the group members,,,,,
The assignments,The group project has been a bit rough.,,,,,
"I like how the labs really help with the assignments. If I try to do the assignment before the lab, I definetly struggle more. I also like how it is easy to get help just by looking at each library's documentation.","I think it has been a little hard to follow the slides, but it is still manageable.",,,,,
I like learning how to use pandas and seaborn to plot,"Sometimes, labs can be more challenging than assignments and able to see the test cases would be really helpful.",,,,,
Flexible structure so that we can attend lectures at different times or re-watch,"Labs can be a little confusing since there is less guidance; also think it has been a little hard connecting lecture content to the labs at times.
It also would have been nice to pick our group members for the project, but I understand you are studying how self-picked versus assigned groups work.",,,,,
It's sometimes frustrating but at the same time fun to organize dataframe to be tidier. I also especially enjoy exploring relationships between data and making graphs with datasets. Sometimes they can show me very interesting and unexpected correlations.,"Probably the wrangling data part. The syntax are complex and hard to remember. Errors occur here and there, and they appear so easily with each additional line of codes... I always have a headache trying to deal with unorganized data.",,,,,
I enjoyed how the hw and project are so tightly connected to the lecture.,I would like this class to be a little bit faster and include more topic.,,,,,
"The guest lecture, I thought it was very informative to see how what we learn in class can be applied in the industry.",I don't have anything particular in mind but maybe the constant deadlines/due dates is hard to track,,,,,
"Guest lecture, as it provided nice insights into data science careers","Felt unprepared for lab 3 despite going to lecture,",,,,,
I've never used the pandas dataframe so figuring that out through assignments/discussions is fun.,Communicating with my group because its hard to get 5 people on the same page.,,,,,
"So far, I have enjoyed the discussion labs the most. They have been very helpful in teaching me how to do data science practically.","I have liked the group project the least so far, as it has been challenging to communicate and find time to work together.",,,,,
I have really enjoyed the discussion assignments. They are quicker than assignments but I feel they cover really important concepts for data science.,"I don't really enjoy the group project. I feel as though if we were able to pick groups, it would be much better on coordinating schedules, but because of the randomization it becomes really hard to meet consistently.",,,,,
Coding. I enjoy writing code more than visualizing data or explaining findings.,Haven't really touched on anything yet since most of the course has been coding up to now. But now we are moving into our projects so I know there is going to be a lot less coding going on and more thinking involved with creating a project. There is going to need to be analysis and explaining of findings which is not particularly fun.,,,,,
I like the hands on work in the assignments that really give us the opportunity to implement everything we learn.,"Sometimes the class feels slow, because of my previous experience in Data Science, but I still enjoy it.",,,,,
I have enjoyed the content in COGS 108. I think the professor explains the concepts very clearly in lecture and that discussions/assignments are a good application to really learn the concepts.,I am not sure. I think I would like more TAs/IAs to hold remote office hours or sections because it feels easy to drop in that way while working on assignments.,,,,,
"I have enjoyed learning about the real world applications to coding, as it's not apart of my major so there's a lot I don't understand about its application in data science.",I am pretty bad at coding and it's really unfamiliar to me so sometimes it's really hard for me to see where I'm making a mistake in the homework.,,,,,
"I most enjoyed the lectures, as I feel like they help a lot with the homework as well as it is really engaging with the iclicker questions",I least like the assignments since I think that there is a lot work for the class,,,,,
"I have really enjoyed the material so far, all of the assignments have been very interesting. So much so that I would like to take more data science courses/look for more options after graduating related to this field.",Maybe some more resources on debugging could be helpful.,,,,,
I enjoy exploring more about different packages in Python that I have not had the opportunity to learn about yet. Being able to expand what I can do using a variety of packages and learning different ways to best perform an action has been exciting for me to experience.,"Communicating with my group has been difficult at times, but I understand communication is always difficult in group projects and I need to learn how to best communicate with group mates regardless of if we agree or not.",,,,,
Being able to learn more about handling datasets.,I wish to have more application of the things I have learned.,,,,,
I have really enjoyed learning more about Github and practical skills like making pull requests that are very helpful for working on coding projects and future jobs.,The group work assignments are a little long.,,,,,
Assignments in Jupyter notebook are easy to follow and fun to work on,Some of the discussion problems don't really specify which dataset is being used,,,,,
I enjoy the lectures because they are engaging and Prof. Ellis explains the content really clearly. I also like the amount of guidance the assignments have.,"Some of the weekly labs have been kind of difficult. I like the quizzes, but there are so many things to do by Sunday it gets hard to keep track of them all.",,,,,
How we look at direct examples of what we are talking about in lecture.,It's been more difficult to do the assignments and quizzes because the material doesn't fully tell us how to set up some things.,,,,,
Meeting the people in my group and working on the project.,Personally the assignments and discussions have been boring for me since I have learned all of that information in prior classes I have taken,,,,,
"I enjoyed the flexibility in this course. I can work at my own pace and plan out my own schedule. Since I live off campus, I can choose to just watch the lecture recording on my own time. Also, I have plenty of time to work on the assignments at whatever pace I chose since I can start one day and finish another as the assignments give me two weeks to finish them.","I don't really like the stress behind assignments with the hidden test cases. Even though the hidden test cases are just more of a generic check rather than edge case checks, I get stressed over misreading or overlooking a part of the instruction and missing points on the assignments. I think it would be nice if students were guaranteed a certain grade on assignments given they pass all of the visible testcases.",,,,,
"learning python in the first place! theres a lotta assignments but they are very doable, even for beginner programmer, and make it very clear what you are learning and its applications","the group project, but not bcuz my group or the project itself, just because the only time we are all available tends to be inconvenient for me",,,,,
Project groups because it's more collaborative than individual homework assignments.,The weekly quizzes because they are annoying.,,,,,
"I've learned how to use Python to clean data, draw charts, plots, etc. in a research which were things I did not know/ learn before.","I don't have anything dislike about COGS 108. There is only one disadvantage that our group comes from 2 sections. Therefore, it is harder for us to figure a common time to work on together weekly.",,,,,
"I liked the guest lecture from the data scientist at Cruise the most. It was very insightful to hear about the real life applications of the tools we are learning. It was also thought provoking, and had me rethinking my perception of the mechanics behind designing complex programs like automated driving.","So far, I feel that some Jupyter notebook assignments have been overly confusing. I found that me and many of my peers had trouble specifically with D3, which I think could have been fixed with cleared instructions.",,,,,
"I like the class structure, it is pretty clean and well organized. Easy to turn in homework without hidden tests.",Assigned groups. I want to work with people that I choose.,,,,,
"A lot of it is review/relearning familiar concepts to me, but I enjoy Prof. Ellis' way of teaching it. It makes me feel like I'm seeing things from a slightly different POV, and not just tiredly relearning things, especially the most recent topics covered.","The beginning part that was just Python coding review was pretty boring, since I have more of a Python background, but I understand some students don't have too much experience with Python/Github/etc.",,,,,
I've really enjoyed using the Pandas library alongside Seaborn. Cleaning and wrangling raw data and then getting to generate visualizations is a rewarding process.,"There is nothing I have disliked yet, but now that we are getting to working with statistics concepts, I foresee myself enjoying this topic a little less since I don't enjoy math much. Despite this, I see its importance and am still eager to learn it.",,,,,
The lectures: They're engaging. I also liked the guest lecture. It is useful in understanding how the application of what we do in class could look like in a career.,"I feel as though the labs (D2,D3....) are quite difficult and dont always cover what we did in lecture. Requires quite a bit of outside research.",,,,,
I have enjoyed the hands on coding assignments. I like how much freedom there is in finding and researching our own methods for data related questions.,I feel like the pacing of this course is difficult but this problem is mostly to do with the quarter system. I think it is rough that I am trying to plan a project that could or could not deploy a model when I don't yet know how to make a model.,,,,,
"Python coding, it's very relaxing.","Weekly quizzes, I feel like some of the tick multiple choice questions are a bit ambiguous / hard to answer.",,,,,
Learning to use GitHub properly,Lectures don’t feel directly related to our current work on the final project,,,,,
assignments due on the same day so it's easier to keep track of deadlines,"some of the assignment questions are worded confusingly, so it's hard to figure out what the question is asking for",,,,,
I've enjoyed coding in python because I've been coding in mostly java and python over the past year.,It's been challenging to coordinate with my group because everyone's schedules are so busy and don't always match up.,,,,,
Learning about data and doing hands-on learning thr,"The group project is starting to feel very stressful - especially since it feels like the amount and depth of deliverables expected this week (Project Proposal) is so much more than the first week after groups were made. I'm excited for what we'll make, but I wish we had more time to work on the proposal, or were sorted into groups earlier in the quarter so we could submit the proposal before midterms (maybe week 3 or week 4 instead of week 5).",,,,,
learning about the importance of being able to interpret data and the most suitable ways to visualize such data! i love looking at random graphs and data visualizations (r/dataisbeautiful is a very entertaining subreddit to look at) so it's been really fun learning about it more in depth,coding but that's because i'm a cog sci design major who hasn't taken a coding class in a few years,,,,,
"I've enjoyed honing my coding skills the most, even if it is a little tedious and frustrating",I haven't enjoyed being stuck on questions and realizing there was one small thing I needed to change.,,,,,
"I have enjoyed how well-organized the class is, especially how clear the instructions are on the assignments.","As a data science major, most of the content in the class so far has been review, making the course easier that I expected. I also would have liked if we could choose our proejct groups.",,,,,
data analysis,group project,,,,,
I like the iClicker questions and being able to discuss questions with classmates.,"Sometimes in class, the Jupyter notebook will run into an error or say a method is out of date on my end and if I can't fix it it prevents other crucial codeblocks from running.",,,,,
I like the breadth of what we cover. I enjoy learning about all aspects of data analysis and the variety of libraries that we use.,"Nothing really, so far my group is mostly been good. A couple people have been absent to meetings but they have been doing their work asynchronously.",,,,,
"do the DI, really help me learn a lot from it",none,,,,,
"The lectures, Professor Ellis is very clear, consistent, and professional in each lecture. It's a joyful experience I might add.",Everything seems reasonable so far,,,,,
The lecture is very interesting,"The instruction for labs and assignments were sometimes not very clear, which made me spend more time on the labs ans assignments",,,,,
Refreshing my skills in data analysis with python libraries,"Some of the discussions and assignments have vague instructions, and can sometimes be tedious to do",,,,,
"What I have enjoyed most about COGS 108 would be learning about pandas and Numpy. This is because I am a Math-CS major so I already had experience with coding in Python; however, I was completely new to using pandas and numpy for data so it has been enjoyable working with new libraries","What I liked least about COGS 108 was the first couple of review lectures on python because I already knew python so it was very boring and unnecessary; however, I understand why it is taught as many students need a refresher on python and coding",,,,,
"- good organization of content -> very good review and encapsulation of the topics
- also all things being due on the same day is very helpful -> more memorable
- there are also some interesting rules being brought up, like the one about 10s and estimation -> just cool pocket knowledge that's useful",not being able to choose my group,,,,,
I have enjoyed learning about data visualization because it was really cool seeing how different graphs can be generated and customized. I found it very helpful and interesting.,I have least liked learning about GIthub because it was confusing to me. I didn't fully understand how to do the assignment for it in D1. I wish we could have gone more in depth with this in lecture.,,,,,
"I enjoyed the most about web scraping and using different kind of plot such as sns because I happened to be using web scraping in research and other class, but COGS 108 lecture slide and code really helps a lot to understand conceptual parts. Also, other classes that I'm taking so far didn't discover seaborn plot, but it seems very useful tool to draw the data.",I do not have it.,,,,,
Coding exercises because it is enjoyable to me,"Some weeks have more homework than others, I don't mind the workload but I would prefer it to be more consistent",,,,,
Learning more about pandas and python.,A lot of things to remember and consider for my grade throughout the week,,,,,
Coding in python and completing the assignments,"Learning how to use these new libraries and methods, but still somewhat enjoyable.",,,,,
"I have enjoyed the professor! How positive energy she has about data science, the talks she shows us, and the way she teaches.",I have least enjoyed coding (as a non-computer science major).,,,,,
The plentiful resources available to succeed effectively in this course in all types of assignments and learnings.,"I like that the deadlines are all due midnight of Sunday for each week, although this can sometimes be tricky as working in a group for the project, things tend to be left for the weekend, which can be tricky to navigate last minute.",,,,,
I think I’ve really liked the assignments on Datahub. I think they really demonstrate the material well.,There hasn’t been much that I’ve really disliked so far.,,,,,
"The most enjoyable aspect of COGS 108 could be its focus on the ethical dimension of data science. It emphasizes the need for data privacy, informed consent, and the responsible use of data, advocating for continuous ethical scrutiny throughout the data science process to prevent harm and inequality.",Some part of the assignment is a little bit hard for me. But I will work it out.,,,,,
The assingmenta,clicker questions,,,,,
"I've really enjoyed our hands-on work with python - learning through practice has helped me retain the content pretty well, and I feel like I'm actually building applicable real-world know how. I really appreciate the emphasis on ethics in this class as well; it's eye opening and thought-provoking to recognize that data is not objective, and it's a good reminder to have as we learn to work with it.","Sometimes I feel like the content in the labs doesn't reflect what we learn in class; in lab D3 I ran into a task I didn't know how to implement. I read documentation, but documentation can be gnarly to sort through at times.",,,,,
I really enjoy the live demonstrations and the applications to cleaning datasets and creating visualizations. I've only self learned pandas for a lab project before so I only knew the basics and available usage of pandas but not how to prepare and clean data.,I don't have anything particular in mind.,,,,,
"I like how there is no midterms and instead we have weekly quizzes, because it stops people from having to cram everything for a midterm and I feel like generally we learn the topics better.",I have no complaints I feel like the amount of work we are given is fair.,,,,,
"I enjoy both the guest lectures and the project-oriented format of this course. I like to put my knowledge into practice and applying what I've learned to real-world scenarios, and the project-based structure facilitates this experiential learning. Also guest lectures help give me insight on the road path people take and what it is like to work in industry.",What I like least about COGS 108 are the assignments. I fairly new to pandas and seaborn so I spend a lot of time looking up the syntax and functions to understand what I am doing.,,,,,
I really like the labs and assignments because they are very hands-on coding where I've learned the most,"I strongly dislike working with my team, as they are pretty unresponsive and disengaged. I think it would be great to have teams assigned within sections so that it is easy to meet in person, since I think that type of interaction is much more conducive to a positive group dynamic than the occasional discord voice chat",,,,,
The assignments are fun and let me practice my pandas/visualization skills.,Assigned groups for the project. We should be able to choose who we work with,,,,,
"The programming, because I like being able to visualize data in an efficient way",Some of my groupmates are not pulling their weight,,,,,
"I have enjoyed the Data Labs! I think they are nice because they really allow me understand how to visualize the data. In addition, the open test cases are nice because I get immediate feedback on what I am doing and its accuracy.",I feel like the length of the quizzes have increased and the time it takes me to complete them has gotten longer. I wish the time allocated to do the quizzes could be extended by like a minute! But overall everything has been pretty smoothly with the class.,,,,,
I have enjoyed the lectures. I think that the lectures have been very informative and helpful for learning the material being taught. The clicker questions make them interactive and force me to integrate the information into my brain.,"I would say that I like the assignments the least because they do not tell me if my answers are right. They just tell me if my answers are in the correct format, but not if what I have done is correct. This means that I am not sure if what I have done is the correct thing or if I truly understand the content.",,,,,
Learning about pandas since it was my first time interacting with it,GitHub because I found it confusing,,,,,
I really enjoyed doing the labs where I get to experiment with what we just learned and it's low stakes.,Nothing major that I don't like about this course. I would say having all the assignments due on the same day kind of stresses me out sometimes.,,,,,
I have learned being able to learn something new each time and being able to interact well with lectures. It's also nice being able to get my brain going with with something different I'm not used to.,"Personally I'm not the best at coding and the fact that we're just thrown in with pandas, seaborn, and other packages, I'm not used to it, and it has been a year since I've taken a coding class so I feel lost and extremely stuck most of the time. Content will be mentioned during lecture and I understand it but it doesn't stick... then when it comes to applying it with assignments (labs specifically), I feel extremely stuck. And sometimes hopeless (if I'm being honest). 

Moreover, when it comes to labs, I have a hard time understanding certain prompts and what it asks of me (but that could just be a personal problem, who knows)",,,,,
"I have liked the group project aspect so far. While I am usually not a fan of group projects, my group works well together, and we are able to complete things well and in a timely manner. It is nice to have a good collaborative experience since unfortunately this is not always the case.","The labs and assignments often reference or require things not covered in lecture. While I understand prior knowledge of programming is expected, it would be nice to see some more methods/topics mentioned. There were a few times I would wonder if I was ""supposed to"" or ""allowed to"" use a certain method since it was not covered.",,,,,
I have enjoyed graphing the given datasets in the assignments.,I don't really like how all the assignments are due on the same day.,,,,,
Doing the discussion assignments is really fun! I love NumPy!,"Nothing really, its a great course!",,,,,
"Dataframe operations. Personally, I love learning about organizing data.","Interpretation of data. It's just that analyzing the data sometimes has some pretty strange results, so maybe I need to learn more about statistics.",,,,,
python and pandas review,"multiple different assignments, would be easy to miss an assignment if i'm not careful",,,,,
I like the discussions and how it feels to work through them. I feel like I'm gaining familiarity with the content. I've worked with pandas before and I like the discussions for getting me back into the groove.,"Not really anything, I think it's been good.",,,,,
"As someone who has exposure to research, I find the higher level concept very interesting (ex. domain expertise, data collection & cleaning, ethic).","I don't necessary dislike anything but I find the length of assignments are a bit long which might not be necessary to promote learning. Although it is completely understandable for the assignments to be broken down into step by step, having too many of them took away the motivation for me to explore and test on my own. By the end of the assignment, I just wanted to move on. To be fair, I always try to finish them in 1 sitting which might not be what the assignment intended to be. Having multiple smaller assignment might helps (ex. pre-lecture, post-lecture)?",,,,,
Learning about libraries in Python that help understand data.,"Some members in team project do not participate or communicate, leaving me and other members to complete the work.",,,,,
"I like the structure of the class, what is being learned/tested is always clear and digestible.",Nothing really.,,,,,
I have enjoyed the real world application of the labs and assignments so far.,"My project group seemed sort of uninterested when we met last time, so the final project might be more difficult than expected.",,,,,
The lectures are interesting and I like how there are many examples provided within the lectures.,"So far, everything is fine to me!",,,,,
"The lectures are captivating and learning about how to use pandas, seaborn, and overall data science techniques/libraries is very useful to know, even though I don't plan to go into data science.",D3 was fairly difficult and I feel like would have been nearly impossible if I was not able to make it to a lab that week.,,,,,
"Data Sci, because we can find a lot thorugh the data.",NA,,,,,
I am really enjoying discussing with the group for the group project since all of our group seems to be motivated.,Don't have any least favorite thing about the class. Every activities or PA seems to be reasonable and good practice for the final project.,,,,,
Being able to search around and find a unique/interesting research question,"Nothing, everything has been really interesting and more importantly practical",,,,,
learning python,would have been nice to have lectures online during rain,,,,,
Not having a midterm,Attendance in class?,,,,,
Learning about how to wrangle data and get meaning out of it has been interesting. It is a very helpful skill to use,"Sometimes it can be hard to understand how to get the intended output in labs and assignments, but it is expected and I can always go to lab hours if needed.",,,,,
I've really enjoyed doing the discussion assignments. I've been learning a lot through them and looking over the notebooks from class lectures has given me a good starting point.,There's nothing that immediately comes to mind and I appreciate how flexible the professor is with the attendance policy. I was wondering if the discussion section slides or tips are shared anywhere if we can't make it to one of them.,,,,,
I enjoyed learning different types of plot to show the data effectively. Also I liked that I could practice using those plots in lab and assignments.,I am not sure why things covered in guest lecture appears on the weekly quiz. I thought guest lectures are extra credit.,,,,,
I like how the class teaches the intuition behind data science in parallel with the techniques.,I dislike how the project based portion of the class occurs outside of class time. It feels like it's harder to work at the same time as a group.,,,,,
One thing that I enjoyed is how we use existed data to make graphs and then analyze them,"data set up process, I think it's boring",,,,,
Coding. I feel it would be helpful for my career.,Everything is nice so far.,,,,,
Getting exposure to different Python libraries for data science,"There are a lot of smaller assignments to keep track of (e.g., quiz, lab, assignment, group project), so it could be nice to combine some into one submission",,,,,
Recap a lot of Python skills while struggling with Java.,Not really.,,,,,
"The guest speaker, as I am a data science major most of the content has not been new for me so far, but I have enjoyed listening to the guest speaker and his experience in the industry.","The assigned groups for the project, I understand that the experience working with people we do not know can be useful but I was hoping to work with people I am anticipating on working with for my DSC capstone sequence to see how I like working with them. Also the differing skill levels in terms of coding does make me a little nervous as to how the project is going to go.",,,,,
I have enjoyed doing the assignments because it's hard for me to grasp the material until I do it myself.,It's kind of difficult to have everything due at once but it does make it easier to remember the deadline.,,,,,
I've enjoyed visualizing data.,I dislike that instructions are not specific.,,,,,
Learning about pandas and seaborn seems pretty useful.,I just generally dislike group projects.,,,,,
I think the content is interesting and the lectures have been helpful when I've been able to attend.,"Nothing too extreme, but some of the assignments seem to run a little long and the instructions aren't always very clear for them. Not a major concern but would probably be my least.",,,,,
"The guest talk was very insightful, as it showed me how the skills I learned in COGS 108 can be translated into the industry.",It would be nice if the instructions in the assignments could be more detailed.,,,,,
I love the interactive Jupyter Notebooks and graphics. I like how the code outputs results and explains them in a readable format.,I do not like having to pay for an iclicker.,,,,,
The quizzes,The pace is a bit slow,,,,,
Project should be fun hopefully,So many assignments paired with stricter late policies and grading for correctness and over strict grading scheme. Lots to juggle,,,,,
