What have you enjoyed MOST about COGS 108 so far? Please explain.,What have you liked LEAST about COGS 108 so far? Please explain.,"Difficulty: Relative to other courses you've taken at UCSD, COGS 108 is...","Workload: Relative to other courses you've taken at UCSD, COGS 108 is...",Approximately how many hours did you spend completing A1 (Python & git)?,Approximately how many hours did you spend completing A2 (Pandas)?,Approximately how many hours did you spend completing A3 (Data Exploration)?
Final project which allow me to work with different people.,,about as difficult,about the same ,7.5,5,6
Being able to use my coding knowledge for the assignments.,Sometimes there's a lot of code on the slides and I have a bit of trouble from understanding them because some of them are going to be used for the assignments.,about as difficult,about the same ,3,6,6
Different models that were introduced to us,,way easier,way less ,1,2,3
Going further in depth with Pandas since I had bare minimum knowledge before.,"The fact that it is an 8AM class. Otherwise, everything else is fine.",somewhat easier,way less ,1.5,2,3
pretty good,having an assignment each week? sometime its a bit too much,about as difficult,about the same ,2,4,6
yes! i love the guest lectures the most because normally none of my classes have that ,group members not doing work as expected,somewhat easier,somewhat less ,1,1,1
The flexibility of the grading,"It is too early for me so I miss most of the lectures, but going back to the good part, grading is flexible.",somewhat easier,somewhat less ,1,2,2
The guest lectures.,,somewhat easier,about the same ,1,1,1
Lectures,Guest Lectures,somewhat easier,somewhat less ,1,2,2
,I think the tests and the hidden tests from assignments are not exhaustive.,somewhat easier,somewhat less ,1,2,2
plot part,coding question,about as difficult,about the same ,2.5,2.5,3
I like the assignments.,,somewhat easier,about the same ,3,3,4
Lecture materials and assignments are very interesting and intriguing. Great topics and very well covered. Gives a good overview of Data Science.,"Lectures are a bit too general about applications, wish it was more hands-on with coding on a real problem. ",somewhat easier,about the same ,2,3,3
I enjoyed how the assignments are pretty guided and the many opportunities for extra credit.,The assignments can be a bit long,somewhat easier,about the same ,2,3,3
I like that we're learning a broad scope of skills and I like working with my group because I've found the topic we chose pretty interesting!,I don't think I've had anything I dislike that much,about as difficult,somewhat less ,1,1,1
Learning about different aspects of data analysis and the process most data scientists take to analyze datasets and obtain valuable insights from it.,"I wish we could spend more time on topics like data visualization. Also, since Seaborn was noted to be not that great of a data visualization package, I thought it would be better to learn Altair instead. However, I understand that Altair is not an easy-to-learn package and we don't have much time to go through it thoroughly due to quarter system limitations.",somewhat easier,somewhat less ,2,3,3
The different topics,Project rubric not so clear.,about as difficult,about the same ,2,2,2
"Guest lectures. Because the topics are practical and interesting. It is really good for someone who likes to know more Data Science real life examples, and wants to have a career in Data Science (not me actually).","Several lectures that already covered in COGS 9. It is just about I feel a little bored when the topics are going over, the lectures are still interesting in general.",about as difficult,somewhat more ,5,6,7
The guest lectures are really interesting. I liked hearing about how other people find success in data science.,,somewhat easier,about the same ,1.5,1,2.5
Working on the group project and coming up with the idea,weekly quizes,somewhat easier,way less ,1,1,1
Group Project,8AM lectures,somewhat easier,way less ,1,1.5,2.5
The Guest lectures. They provided interesting insights into the field of data science. ,"The 8am lectures, between it being so early and the nightmare that parking is on campus, its difficult to make it to lecture all the time",somewhat easier,somewhat less ,1,2,2
I actually find the guest lectures very interesting and would love to see those more in future cogs classes or other classes. I think they bring a whole new insight in the job field and just a getaway from the curriculum.,I find the assignment slightly difficult but that;s mainly because I am completely novice in python.,way more difficult,somewhat more ,6,10,10
the guest lectures,"graphs, I personally do not like them",way easier,somewhat less ,3,2,3
Yeah! I skills I'm learning from the class give me confidence to play around with datas I am interested in ,"Honestly, prolly the class time being at 8am makes it so hard to make. I would like to make it to more classes. But you do you Prof Shannon :)",somewhat easier,about the same ,1,7,5
,,somewhat easier,somewhat less ,1,1.5,3
The final project and guest lectures.,"I do not like the fact that, for weekly attendance, you can only go to either lecture or do the quizzes and cannot pick and choose per weekly-basis.",way more difficult,way more ,4,4,8
I like the lecture format and quiz format. I also like how there is a lot of creative freedom for project topics.,"I wish the homework assignments had more support, sometimes I struggle on things I feel should be easy to implement.",somewhat easier,about the same ,1,3,6
"The PAs! They have been great in providing me information about data and its usage. It taught me how data could be essential towards predicting new outcomes, or even assisting in creating better visualization.","I believe the timing of the class seems to be my least liked part of the class. Since I stay in Warren, walking to Galbraith at 7 A.M seems too far of a stretch, especially since it's Winter Quarter. Otherwise, the podcasts are great!",about as difficult,about the same ,2,3,4
I enjoy thinking about and visualizing data.,I dislike that the class is at 8am. ,somewhat easier,somewhat less ,1,2,2.5
"I have enjoyed getting the opportunity to explore a new topic of interest with my group. In addition, I've had the chance to try out new statistical methods that I've learned in lecture in order to try and tease out any trends in our data.","I did not realize the amount of review that would be included in lecture. As a data science major I are into this class fairly well-versed in pandas, so much of lecture has been topics that I have already learned.",somewhat easier,somewhat less ,1,1,2
lecture. it is useful and interesting,hw. the grade is a little bit bad like no partial grade,way easier,about the same ,2,2,4
"I really enjoyed the web scraping and data visualization topics. I always wanted to learn how to scrape the web, but never had the chance too. The data visualization tools remind me of excel but with more control. ",Early morning lecture makes it hard to always get there on time. ,somewhat easier,somewhat less ,3,3,5
"I like the professor's lectures. She knows a lot, and she commands the presence of the topics she talks about. She puts out a really engaging and interesting debate in her lectures. Her guest speakers are very intriguing since she brought a former quant analyst/trader. ",I think the hidden asserts :) ,about as difficult,about the same ,1,5,5
I have enjoyed working on the final project the most ,I don't like the weekly quizzes or clickers ,somewhat easier,somewhat less ,1,1,1.5
"I've really enjoyed asking the big picture questions and breaking it up into it's smaller components, and then trying to see how we can tackle each component.","I absolutely despise the coding. I have a very hard time understanding what I'm doing conceptually, which in turn doesn't help with the pressure coming from the weekly deadline. I feel like I'm rushed to learn.",somewhat more difficult,way more ,1,4,6
,,way more difficult,somewhat more ,6,6,7
Learning about the real life implications of data manipulation provided really interesting insights!,Lengthy programming assignments,about as difficult,about the same ,4,4,6
"I have enjoyed learning about pandas because it's something that I've always wanted to learn but never really had the time. I've only learned a little python my first semester of college, so it was nice learning more python, considering that it is a language that a lot of companies use nowadays.",I'm not a fan of the big class size because it is harder to get time to get to know the professor better for things such as recommendations and whatnot.,somewhat easier,somewhat less ,2,1.5,3.5
"I've really enjoyed working with the Jupyter Notebooks, the immediate feedback of cells makes it feel like much more of an interactive learning experience then CSE classes where you write everything and then have to go through 80 bugs in the code all at once.",The group project has been stressful because it's really hard to just extract a CSV or any type of clean data from government or medical websites and it's almost like thy make it as hard as possible to just get the stuff you need. ,about as difficult,somewhat more ,1,1,2
It was interesting to learn programming in Python and how different it was from conventional language,I havent had any dislikes from the course so far besides being an 8am class,about as difficult,about the same ,3,5,5
Web Scraping,Nothing!,somewhat easier,somewhat less ,3,5,6
Getting to pick and propose our own project,Some of the assignment questions are not worded in the most clear way,about as difficult,about the same ,1,3,3
,,somewhat easier,somewhat less ,1,1,1
discussion,Slides with no lecture data on the top,about as difficult,about the same ,2,2,3
I enjoy learning so much knowledge about data analysis and how to apply the techniques into practice.,"I love everything in this class, and I really love professor's lecture and notes.",about as difficult,about the same ,1.5,2,3
"My favorite part about this class are the assignments because they are a great way to practice my Python/Pandas skills. We are also learning materials I am currently learning in other classes, so it helps with giving me that double reminder (?) when learning about the topics.","I don't have anything that I particularly like least about this class, but the quizzes are pretty tricky. They are not hard, but some of the questions really have me thinking for a few minutes.",somewhat easier,about the same ,3,3,4.5
,,somewhat easier,somewhat less ,2,3,4
Web Scraping,8am class,about as difficult,somewhat more ,4,5,6
The assignments! ,Not much really,somewhat easier,about the same ,4,6,8
I have enjoyed being able to work on real datasets and perform basic EDA on them,The guest lectures; I felt like both of them did not really relate to data science and was more of an autobiography of the lecturers,somewhat easier,about the same ,2,2,2
The assignments are really well structured and the lecture material is pretty interesting.,Rigid project expectations..,about as difficult,about the same ,1,1,1.5
Learning about Github,,way easier,way less ,1,1,1
"Learning python step by step. As a data science major, all of our classes kind of dived straight into PAs and assignments that we never learned the logistics of the language.",The lectures are a little slow.,way easier,about the same ,1,1,1
"yes, since i'm very interested in ML, I think data science will be very useful","well I don't really have anything to complain about, but it would be better if the class isn't at 8am",somewhat easier,somewhat less ,1,2,3
I've enjoyed the most about learning to collect my own data through ways such as APIs and web scraping. This makes me feel powerful in a way that I'm able to answer whatever question I have using the publicly available resources on the internet.,"I don't like that the courses focuses on principles of data science and almost completely ignores teaching about the process of formulating a testable data science questions and going over examples of such projects to give us a general idea. Instead, we only learn about python codes and statistical techniques without learning about what constitutes a good data science project.",about as difficult,way more ,2,2,3
Learning about pandas and working with datasets since I never really worked with these before so it's interesting to learn about.,,somewhat easier,somewhat less ,1,2,3
python,8am,somewhat easier,about the same ,2.5,3.5,6
"I like the assignments, they are just challenging enough that it is fun but not so challenging that it is stressful. ",,somewhat easier,somewhat less ,1,2,5
"I've really enjoyed the class's topics, and the structure of the assignments. The accessibility of resources and help for the assignments is really amazing, and while the programming assignments are challenging I can always work through the materials provided by Professor. I also really enjoyed forming a group, as the members i met were very friendly and open, and they were very helpful as they were experienced in programming. I really love this class!","I will say that the 8am lecture time is my least favorite thing about cogs 108 so far, which isn't an issue as professor allows us to podcast. I am slightly disappointed in myself that i couldn't go to lecture as much as i should have, because I prefer being in class than podcasting. However I have kept up with the lectures via the podcast and intend to attend every single one of the final lectures.",somewhat easier,somewhat more ,7,6,5
How to interpret and clean data using python,8am lectures,somewhat easier,about the same ,3,4,3
The Guest Lecture,Not too much explanation for student never took a stats class,about as difficult,about the same ,3,3,5
The freedom of the project,The assignments,somewhat easier,somewhat less ,1,2,2
The assignments have been pretty fair and representative of the lectures given.,,somewhat easier,somewhat less ,1,1.5,1.5
Finishing coding assignments is rewarding and I believe that the material covered in lecture is very applicable,I spend way to much time on the coding assignments,about as difficult,about the same ,5,10,10
non-mandatory attendance for an 8am,nothing,about as difficult,about the same ,2,3,4
How chill the prof is and how much she relates ideas in class to real life things,how early it is in the moring :((,somewhat easier,somewhat less ,1,2,2
"I enjoyed the most about guest lectures, since I love to hear stories of cool people.",I don't like the time of the class. I don't like podcast but now it's like I'm forced to choose podcast.,about as difficult,somewhat less ,4,6,5
jupyter notebook,"the fact that there are multiple ways to solve problems, but we are confined to one way sometimes in order to learn the material",about as difficult,about the same ,4,8,10
I am enjoying the final project the most. ,"The homework assignments are a little long, but it's good practice. ",somewhat easier,about the same ,1,2,3
Learning about python and pandas ,"Early morning class, lack of canvas use",about as difficult,about the same ,2,2,3
"The assignments. They cover interesting topics, and are well designed.",,somewhat easier,somewhat less ,1,1,2
,,about as difficult,about the same ,3,3,6
,,somewhat easier,about the same ,1,1,2
review of Git and other basic data science principles,I wish we could spend more time on Git and more math heavy concepts,somewhat easier,somewhat less ,1.5,1.5,2
I enjoyed the progress of learning through doing the homework and practicing.,I hope the quiz can be upload on the corresponding week(eg. on Monday) I once did the next quiz and missed that week’s quiz ,about as difficult,somewhat more ,1,3,2.5
Learning how to use GitHub and learning the data scence side of Python.,Having difficulty with some of the assignments because I don't fully grasp Python.,about as difficult,about the same ,3,4,5
I got to learn about Python :),8AM Attendance :(,somewhat easier,about the same ,1,2,4
The process of cooperation. I make some new friends who are familiar with data science.,The time of the class. 8 am is too early for me.,somewhat easier,somewhat more ,2,4,7
"I’ve enjoyed the homework assignments most so far. Although sometimes they can be a bit difficult (I find myself getting stuck on one part for multiple hours at times and others I finish within the matter of minutes). However, I’ve learned so much from the assignments! ",The time of the lecture of course. ,way easier,about the same ,2,5,10
,,somewhat easier,somewhat less ,2,3,3
the assignments because they are gradually getting more complex and challenging instead of having to run into a wall,the partner making process,about as difficult,somewhat more ,3,6,6
Coding,Hidden Test,about as difficult,about the same ,3,2,3
"The wonderful notebooks and slides provided, they are very rich in information and helpful.","The complicated grading system. I understand that this is to give us more ways of getting points, but it has too many degree of freedom and I had to calculate a lot to get an estimate of what score I have now.",about as difficult,about the same ,1.5,2,3
I liked the guest lectures. they offered real world experience and perspective on relavant data science topics and applications. ,I don't like the assignments. I struggle to do them by myself and I feel like I can't get help because I need help with most problems. ,way more difficult,somewhat more ,1,0,0
"The ethical portion of data science. I find it fascinating the amount of restraint we put on ourselves as humans in society when it comes to accessing and manipulating data. 

I also find the assignments fun to work through as the use of pandas allows for crazy manipulation of data sets.",It's 8 am. Literally the worst. Other than the time the class itself is a blast.,somewhat easier,somewhat less ,3,4,4
,,about as difficult,about the same ,5,5,5
Interesting,Deadlines are weird,way easier,way less ,1,1,2
Machine Learning and how data is cleaning,N/A,somewhat easier,about the same ,0.5,1,2
The outcome of an analysis of a set of data that actually helps a person making a decision.,"The tedious part of cleaning a set of data, which should be minimized at all cost when building a survey or questionnaire.",about as difficult,somewhat less ,2,3,7
the teaching style of prof which helps me learn,,about as difficult,about the same ,3,4,4
The coding part. ,The 8 am lecture,about as difficult,about the same ,3,4,6
