enjoyed_most,enjoyed_least
I've learned new data science techniques that seem to be pretty useful skill to have in my repertoire as an EE student. ,"Some of the discussion labs were very challenging for someone with essentially no experience with the analysis packages, also Assignment 2 was due after Lab 3, but lab 3 required skills learned from assignment 2 which was confusing."
"I really like getting more experience with pandas and the data visualization packages. I'm going to have to use both (and R) in my work when I graduate, so it's good to be learning them now.","I understand their purpose, but the weekly quizzes give me anxiety because some of the answers seem finicky and subjective. I wish there was some kind of replacement for these (I know clicker questions were that replacement when classes were in person)."
clear explanation on concepts,"Assignment is too straight forward (solutions are almost given), maybe having weekly problem set without specific approach would better promote self-learning."
I enjoy learning a lot about data science because it is a new subject to me since I am a math-cs major. ,I think the least I like about this class is that there's a lot of coding but not too much detail on how to do it. I often find myself looking up how to use functions in order to complete the discussion labs and assignments. 
Flexibility with deadlines and assignments along with how everything we need to know is covered in lecture!,"Having to use GitHub for our project proposal was a little difficult since every little comma matters for the full file to load, but once we got over that, it was perfectly fine!!"
To try to find ways of solving actual research questions through coding and do peer review of projects that were done by previous groups,"To learn coding. I'm not very good at it. Thus, I always need extra time trying to figure them out. But once I figured something out, it was always satifying. "
The thing I enjoy most is being able to create our own project and work with others in a group. I think that it's really important to learn to work with other people for big and important projects because it helps to prep us for our futures where we aren't just working alone on everything. It's also really enjoyable that I can work with other people because remote learning can be very boring while staying at home all day. ,"Overall I really enjoy the class but what I think the thing I like the least has more to do with coding than it actually has to do with the class. I've taken a bunch of CS courses before this class but I think pandas in general just irritates me because I'm so unused to it. I understand how to solve the problems and what the end goal should be, but I find that it can be really annoying without knowing the right code to use along with not knowing what exactly to look up when I'm stuck."
Datahub/Jupyter having never used it before; it is nice to learn and do the homework as I progress.,Probably the discussions as they are sometimes ambiguous and I'm unsure of what to put in for my answers sometimes.
I have enjoyed the structure of the material and the way lectures have been carried the most. I do feel like there is good explanations and care for the students' learning.,I have liked the least working with GitHub. This is more of a personal issue because it is my first time using it and I am very unfamiliar. I understand the terms and what I am supposed to do but get confused on how to carry out what I want to.
I enjoyed learning how data relates to the real world and being able to understand data better. I enjoyed the real life examples talked about in class. ,The lecture quizzes because at the end of the week I forget about the small details mentioned in class so I have to rewatch everything to pick up anything missing. 
I enjoyed learning more applications of Python. I think it will be very beneficial to me later on in my life,The discussion quizzes. I feel like they are a bit harder than the HW
Hands-on Data Science project - actually get to learn on the go,Difficult to get a hang of syntax etc for discussion assignments.
"I enjoyed the lectures and assignments from COGS 108 so far. The assignments are very helpful in understanding lecture material, and I enjoy that it goes more in depth with certain topics, forcing you to look up the manual of methods and such for pandas, seaborn, etc. I also enjoy the lectures in how they are very concise and straight to the point on information, which makes it easier to take in the material when viewing the lecture.","I've liked the discussion labs the least, but that does not mean I don't enjoy them. I feel that they vary in difficulty too much and are quite unclear on what's exactly wanted, which makes them less enjoyable compared to the assignments. A suggestion from me would be to make the instructions slightly more clear on what's wanted, and I believe that will make the labs more enjoyable."
"What I have enjoyed most about COGS 108 is using Jupyter Notebook. By using different libraries on Jupyter Notebook, I have become more familiar with the datasets and learned some sense of analyzing it!",Discussions and Assignments are quite challenging. It would be beneficial for us to take more time learning programming rather than logics.
I really enjoy learning the technical skills we've been learning especially with pandas in python. I had taken DSC10 before but we were using a different version of pandas and it's been really interesting+challenging learning how to use pandas and applying it to the project.,There's nothing I disliked about COGS108 thus far. The only thing I could nitpick would be that the assignment and labs can be a bit difficult at times if you don't show up to the lab sections. 
The data visualization part is really useful,Homework is a little bit hard (datahub); still very worried about the final project since we think our proposal is not good and it is difficult to find data that we want and determine our research question
"I've enjoyed learning more about the pandas package. In cogs 18, we just briefly went over it and at that time, it didn't seem like it could do much. However, just by going over A2, it really is a powerful tool and it was interesting to me to see how lines of code could result in visual images such as graphs and that there are multiple ways to change the graph to fit my image. ","If I had to pick, the part I've liked the least about COGS 108 was when we had to conceptually learn about github, privacy, ect. I like the coding aspect of this class more than the conceptual one so it was harder for me to focus on the concepts. On the other hand, I do recognize that they are important so I knew they were necessary to learn. "
The class is interesting and teaches us useful skills of data analyze,The teach speaks a little too fast
I liked learning about pandas and other libraries.,"minimal instructions in discussions. I liked how A2 guides you and you learn a lot, whereas discussion is just less vague and you don't really know where to start if you're stuck."
I like how we think of our own ways to apply what we learn in a project,"however, sometimes working with a group needs way more effort"
"When we learn data visualization, it is fun to see how the codes related to the graph it created.","Not about the course but python itself, it was kinda confusing and hard to understand the logic at first since I have not learned it before this course, and it is pretty different from the languages I am familiar with (C++, java)."
I enjoy learning how to wrangling the data and use it to solve real problems.,The incovinient caused by online courses make it difficult to communicate with group members.
It is fun to develop my python skill. ,There are some quiz problem that prof just mentioned ambiguously on class and I think it should be some more technical problem.
How everything due each week is due on Friday and that theres a slide saying what is due on Friday.,Not getting feedback for our project idea sooner.
The lectures! I really wish I took this class when I was learning pandas. My old classes told us to learn by reading the documentation. And including misc-related things like the Fermi problem I LOVED. I also love how structured the class is and how assignments can be validated through datahub. I wish my DSC classes also did this.,Nothing. I am having a blast. Thank you
I enjoyed doing the discussion labs and assignments. I like learned about how to use data and analysis the figures that come from data.,"I don't like waking up early in the morning for lecture, but I have to because I liked being in lecture live."
learning to use Pandas,I want to learn more on how to use Github because I am still not comfortable using them.
Using and learning more about Jupyter Notebooks. I haven't used it since my DSC10 class and it is just so fascinating how much more efficient and convenient it is than using a text editor such as atom. ,"I definitely have struggled a little with the discussion labs - the assignments are fine because the instruction is detailed, but even after watching the discussions I can't figure a lot out. This is also the first very hands on course I've had at UCSD with doing my own research so it has been hard believing in myself and my abilities when it is something out of my comfort zone that I don't have experience with. But nonetheless I am very excited to get more involved in this class!"
"The lectures, easy to follow",Groups
The class is very organized and structured well to give students both enough flexibility and challenges to adjust their workload for the class appropriately each week.,Lectures go a little fast.
"I have loved working on the COGS108 discussion and assignment notebooks. Working with real data and coming up with an analysis on the data is satisfying for me personally. Additionally, I have enjoyed the collaborative aspect of the project and being able to interact with other people while working remotely.","Knowing that COGS 108 was an intro to data science, I knew that we were going to be going really fast through some of the topics. I would love to have spent more time going over pandas syntax and tools and tips for effective data wrangling."
Learning how to do things in python in a structured and easy way,The consistent amount of assignments
"The lectures focus on material that is relevant for assignments/labs. In some classes, the professor doesn't discuss the concepts we need to use on homework. This has not been the case in Cogs 108.","That it's at 9am! ;) On a serious note, there isn't anything I haven't liked about Cogs 108 so far"
"Lecture content is being taught well with good pacing, professor knows what she's doing. ",Working in groups. Very hard to coordinate meeting together. Not easy being productive on a large group project when being remote. 
"The lectures have been really interesting, and I have enjoyed them a lot.",I wish we had a midterm of sorts to synthesize the content so far
"working with my group, gradually working through the project",somehow I don't have any particular thing that I've liked the least
I like working with datasets,"The discussion labs, I feel like they just are a simplified version of assignments which don't necessarily add anything to my skillset"
"Watching recorded videos, and being able to generate the plots and arrive at the right result.",Discussion labs are a little bit harder than expected. I spent a lot of time on doing them.
"Learning more python, seeing concepts learned in cogs 18 expanded on for more practical applications.",The documentation for PANDAS sucks.
I enjoy that we learn about a variety of topics really quickly! I feel like I'm learning a lot in just a few weeks.,"So far the discussions take me significantly longer than the assignments. I wish I had learned all of the syntax that I need for discussions either in lecture or in a discussion guide, as most of the times I have to Google everything which takes a while depending on if I know what I'm looking for."
communication with groupmates ,I have liked least about COGS108 assignments and discussion labs because most of them are not covered during the lectures. 
Learning the theory behind data visualization. It's something that I didn't really give too much thought about til we learned more in class. I think it's really interesting that there's so much that goes into it. ,Mainly scared for finding datasets for our question and thinking that we should slightly modify our question based off this weeks lecture. I sorta think ours is a little vague and could be specified. 
Going through the experience of working on a data science project as part of a team.,The struggles and challenges of working as a team.
Learning about the different aspects of data science,Nothing really course is not as high stress but more learning involved which is good. Maybe more lecture notes describing content in detail
I have enjoyed going over how to better use visualization tools in order to show particular data.,"I don't like using many different platforms,  so campuswire is a bit annoying for me. I've never understood why we need canvas/piazza/campuswire/etc."
"Data wrangling has actually been quite interesting. I struggled at first, but after a while it has started to become fun to figure out ways to extract the data I want and then to have a visual for it.","Sometimes I feel lost in the immense data that is provided to us and I feel that I'm having a hard to honing down to a particular question that I want to solve (for the project) that at the same time, is also answerable with data."
Having the freedom to do a project on something I am interested in,"The assignments, I just take a long time completing assignments, but that's just because I struggle with coding."
I've enjoyed the content of the classes the most so far! It's all interesting,"The discussion sections have gotten pretty long, but I like that we can check our answers after."
"I loved learning how ethics is not overlooked! I always wanted to learn more about ethics, and I am glad that this classes does not fail to mention them. It keeps me reminded on how I need to be a responsible engineer. ","I wish we could get more help through a system like autograder, but that might be a personal preference. "
Learning skills in data analysis which make good use of it,Too many backgrounds and concerns on data analysis
"I like the learning of pandas as I previously had a class that used it, but was not taught it. Therefore, I manipulated data without actually understanding what I was doing.",I have liked everything in this course about equally so far. I find all the topic covered interesting and useful. I am not bored with anything. 
The lectures have been very pleasant. I love the style of class and how professor Ellis has made the material easy to understand.,I personally do not like how much time I spend on the discussion assignments. I spend a lot of time trying to understand the question and then trying to solve it but its been very time consuming.
Learning new tools/methodologies for parsing and analyzing data,"The first few lectures were a bit slow for me, mainly because I already knew a lot of topics introduced at the start"
"Learning about the entire field of Data. This is my first data science class, so i find it all really interesting.",Probably all of the time I spend debugging my code haha
It's a lot more relaxed and not as demanding. ,I feel like lectures move a bit too fast. It's always one thing to the next without much explanation. Also discussion sessions I feel like a pretty useless
"Data visualizations! Being able to actually see the code I wrote (and you taught) be put into sight was super cool. But besides the concepts we've learned, I really enjoy how patient and fun of a lecturer you are. Big shoutout to the oh-so patient TA's as well","Well, I'm not a great/well-versed coder so naturally, I don't like the coding part, but it's still fun to learn I just wish I had more time to absorb the information"
The assignments and labs are really clear,I think it's pretty good
"I surprisingly enjoy figuring out how to properly code in Python during the assignments, perhaps because I hadn't coded for a while (since CSE 11 last winter). It's satisfying how quickly I can run my code in the jupyter notebook!","I think figuring out as a team what to approach for our project was difficult. We had directions we were interesting in heading towards, but had to really figure out which ones would yield a significant enough perspective, which had data sets that could give us ample information, etc. I am excited to get rolling though now that we have our research question!"
"My favorite portions of COGS108 were those that had direct real-world parallels, like when we were going over github and when we went over data bias.",My least favorite part of COGS108 is the submitting process on datahub. I'm constantly forgotting to submit my assignments and have to revisit the page after I finish (assuming I remember)
meeting my group members,"Least of all - I don't really like weekly quizzes, but i understand why we need them"
I really enjoyed learning new Python techniques and just more about data science in general.,"I dislike that we have multiple things due every week. E.g. quiz, hw, discussion."
"freedom of final project, ta/prof contact and accessibility",i like it
I am enjoyed learning about accessing libraries and dataframes to create visuals. ,Hardest part about this class is learning command line to push and pull repo. 
Learning how to wrangle data,Everything is very new and tough. Takes a lot of time to learn the concepts
meeting new people in the group projects because it helps it feel like the class environment (which I never thought I'd miss) + how applicable what we're learning about ,"I like that all the deadlines are on the same day, but I do feel like it's a lot of work each week when balancing 3 other demanding classes too. "
I have enjoyed learning more about using pandas to visualize data. The assignments so far have been great learning experience.,Nothing in particular. The pace is a bit fast but I am learning a lot.
"The assignments have been challenging, but in a good way. It feels good when. my code finally works",not knowing where the project is headed yet gives me some anxiety
Working with my group,completing the assignments and labs 
The seabron and the plotting from python.,The vague expectation for the final project's group works.
Learning more about data science,Discovering A2 was basically a precursor to a lot of what I couldn't quite wrap my head around in D3.
"This is the only class I have this quarter that is both well organized and engaging. My other classes make it extremely difficult to learn even by remote learning standards, so this class is the semblance normalcy for me. ","Sometimes it's hard to wake up for this class in the morning, so I can't always attend synchronously like I would prefer"
I really like working with data and programming in python overall so thats what I've liked the most so far (the opportunity to learn about the power of data and see it personally through programming assignments in python),The least I have liked about COGS108 is that its online and one doesn't necessarily get the help they need in person (which can be more clear). Overall I think this course has done great job in making up for that which is good. 
All the ways that python can be used to keep track of data,"Github, but that could just be that I might not still understand how to use it"
I enjoyed the most doing the assignments because they're informative and give a thorough understanding of how to use pandas and seaborn.,I do not like the discussions too much because it is a little too open-ended and can sometimes be really difficult to answer some of the questions. D3 was one where it was very hard because I had to wait until Friday's lecture to do some of the questions more easily.
"I actually like doing the partner project since it gives me an opportunity to meet with new people. I think the way the project is structured is done very well. Most classes have final projects and you only start doing work for it in maybe the last 2 weeks, but in this class we started very early and I like that. It's super well structured and gives us a good start without having to scramble at the last minute to finish anything.","Honestly, I don't find much of if non-enjoyable. "
The lectures and assignments have been really helpful in teaching the basics of pandas and hands on with manipulating datasets. ,"Using github to work on the project. Only because our group meets up over discord and works on it together, so github doesn't really facilitate all of us working on a document together. But I'm sure it'll be more useful as we make smaller changes to the document. "
I enjoy doing the group project because it offers me an opportunity to communicate with my classmates in remote learning.,The Lab Assignment is a little bit difficult sometimes.
simplicity of demands,im melting
What I enjoyed most about COGS 108 so far is the overall set-up of the assignments. I have learned from every single assignment that I did so far. They also are set up to build on each other and there doesn't seem to be a dramatic jump in difficulty between them.,What I liked least about COGS 108 is really nothing. I think this class is pretty well prepared during the online era of college. I enjoyed everything about this class so far.
The group work. My team and I picked a very interesting topic and talking about it and speculating what we might see is fun.,The weekly quizzes. I've been going to all the lectures and I still struggle with them.
"I really enjoy the pace of this class. The discussion labs help us think more about the material on our own without too much stress, as well as helping prepare us for the homework and project. This class gives us time to practice what we've learned in class before moving too quickly on to another topic. ",I find it hard to get other people in my group to work on a group project when our only form of communication is online. 
The content in general is really interesting. I find the way that we are able to acquire data from websites and other places so cool.,"Sometimes in the weekly discussions, the instructions are a little vague so I have to spend more time finding out exactly what I need to do or ask other people who to interpret the question."
Learning about the data wrangling techniques. I love data analysis and how it could be applied to literally any field to make hypothesis about relationships between variables and draw conclusions.,The discussions because I have trouble usually with knowing the right way to solve them.
The coding assignments on datahub,"Sometimes, the I feel like I don't have the appropriate knowledge to solve coding problems on the assignment and feel frustrated."
"I like the structure of the class. Concise, well laid out lectures. Assignments all due on Friday. ","I don't like working with my group. It's awkward, I try to talk to them but they're all hesitant to share their thoughts. So I unintentionally became the team lead in order to get things done. My teammates are still putting in the work though. Also I think that they don't attend lecture so they're unfamiliar with Github, etc. so more of editing the files fall onto me, which I'm okay with but it would be nice if the technical skills were more evenly dispersed in my group. "
Learning how to analyze and visualize data ,Idk 
I think that the lectures are pretty informative and helpful.,"I don't have many complaints, but the assignments are frustrating at times as with any coding. "
A lot of the material I have learned in other classes so far but I like familiarizing myself with GitHub. Wish we could do a little more with it though.,I feel like the group work has been a lot less exciting than I was hoping for. This would be my first project class so maybe I just don't really have a very accurate expectation. 
I've enjoyed doing the Discussion assignments because they're helping me practice my Python skills. ,"I don't feel that the Technical Discussion have been super helpful for the Discussion assignments. For D3, the TA/IA leading the section I went to just spent most of class walking through Babynames, so I didn't really get to ask any questions about D3."
"Working with python has been my favorite part. I have used java in my last several computer science courses and getting to use python feels like a breath of fresh air because it's so much more intuitive and it works better for me. Also, I quite like working and submitting in Jupyter.","Occasionally one of the assignments will have a vague question and it's hard to tell if I answered it as was intended, or sometimes I've already done something in a workbook that I'm asked for later and I don't know whether to remove it from where I did it on my own first and move it there, make a note about it, etc. The workload is pretty heavy on a weekly basis compared to most of my other classes, but that's both a pro and a con for me since I do enjoy the material."
I like the hands-on Jupyter notebooks and the flexible course schedule.,The documentation for various Python functions can be arcane.
"I enjoy completing the discussion labs and assignments, I think it is quite helpful.","The group project is not as interesting as I thought, it was hard to find a good research question"
"So far, I have really found it useful to get a refresher on the basics of data science and programming with data in general. Sometimes, in more complex classes, I just end up googling at every step, so its nice to go back and revise the basics, to solidify my understanding.","I don't like the quizzes system. I think it is probably because I am frustrated from missing one of the quizzes by accident and losing that part of the grade. I think the assignments are useful  and do a good job to make sure that students are on top of the material week by week, so I don't understand the purpose of the quiz."
"The application of our new skills and methods towards the goal of making a project, rather than memorizing for an exam","I Don't like how many of the lecture and learning materials are in different places, such as GitHub, Datahub, and Canvas"
Assignment 2!,The syntax. Plus Ive been spending too long on discussions
"Wide variety of information being taught - clear explanations for new information introduced, along with plenty of material (discussion) to explore aspects not covered in class. Lectures are a good mix of notebooks with hands-on learning and pdfs for other material.","Lack of guidance in project - it's not clear which TA will be supervising our project or if we are on the general path for producing a 'good' project. I recognize this stance may be hasty in judgement, as we will be getting reponses to our Final Project Proposals soon."
"learning python, being able to make quick graphs of a data set feels like an extremely valuable skill. ",What I have least liked about COGS 108 so far is mainly the group work. I do not mean to be mean but the work feels like its just a 1 week break and then do something for a half a day and then next week or next next week and i think that is fine but i forget a lot.
I liked learning and using Pandas in A2.,
Learning pandas and learning more about python. I enjoy the content being taught. I find the information to be helpful and a nice tool to use if I ever need to use it in the future.,"The discussion assignments are confusing to me. I find it difficult to do the discussion assignments even after watching lectures and reviewing the discussion section video. I find that it takes up too much time to complete, and I could be focusing on other assignments that are due the same day such as the quiz or assignment/group project."
Guided DataHub assignments; I think progressive application of material helps me to learn the best,"Coordinating group project stuff because of having to resolve various schedule conflicts, especially since I have a job outside of school"
I really enjoy the way we look at the notebooks in class and see how things actually work.,The lab/DI work we do each week doesn't do much to aid learning as there is little guidance. Assignments seem to be better at this.
Being able to learn about so many different things about data science. This course really opens a door for me. :),The discussion labs are sometimes challenging
I really like working with Jupyter Notebooks for lecture notes because it is interactive and allows me to explore the codes also after lectures.,There is nothing that I dislike :)
The ability to come up with a project idea on our own and pursue the research in a reasonable structure,"Really like the class, wish it was in person."
Learning python,
"I enjoyed how beginner-friendly and kind all my groupmates, the professor, and staff have been for this class. I would say this is the epitome of a positive, open-minded learning environment. I also enjoy how welcoming and easy-to-talk-to Professor Ellis is.","I think that if the lectures were a little more geared towards the Discussion and the Assignments for this class, it would be ideal. I find myself a little confused on the wording of the questions within the worksheets and problems of the homework due at times, especially also the failure of assertions to work on problems (e.g. the 1950 until now question in Discussion 4) confuses me at times."
I have enjoyed the research on different topics for the group project.,I least liked some of the difficult questions on the assignments that I couldn't fully grasp through past lecture information and having to rely on searching the web.
Covers everything required for data science,"It is alright at the moment, just feels like theres plenty to keep track of."
"I have learned how to wrangle data by using pandas and seaborn packages, and the Fernmi estimation. So far in my opinion, python is more flexible language to deal with data analysis than other languages like C++ or Java. ",None. I'm certain that every lecture is very useful and meaningful. 
I enjoyed discuss with my partners and we came out a lot of ideas.,I feel python is a little bit challenging.
"I enjoyed learning about the differences between the different graphing libraries. Though I used the different libraries, I didn't fully understand the differences. ",I dislike doing the quizzes. I wish the assignments and discussions would replace the quizzes.
"How the assignments guide you on what to do. For example, A2 had examples of how to use the operations it wanted us to us","I think the Term Project could use a bit of more guidence, I feel like it is rarely talked about in class"
the class structure,dicussion
Exploring what python can do,that groupby specific question in D3 cuz I couldn't figure it out
The lectures are engaging and interactive!,"Despite having background experience in Java, the discussion labs and assignments can still be a bit confusing. I think this is naturally me just trying to learn something new though."
"The Assignment PAs, they feel thoroughly written ","The Discussion assignments, feel much more tedious than need to be "
Learning how to utilize Python to conduct data analysis and learn more about given research topics seems highly useful and applicable in future projects.,The assignments (mostly A2) have felt fairly dense and difficult to complete (however this may be due to my lack of experience with programming/data analysis).
"I've enjoyed the programming aspects like interacting with pandas the most. Coming into this course, I was already comfortable with programming in general, but I never took the time to familiarize myself with these popular python packages. So, I think it's been a great first exposure to these tools.","This will probably have to be my group. After 4 weeks, I feel like 2 of the group members are dead weight. Either they don't contribute or they write like minimal effort/thought sentences, which will require us to redo the sections for them. As a result, despite having 5 people, it's more like 3 individuals doing all the work. Furthermore, at least for me, I think even if they don't do anything, it's definitely harder to focus when you know that you're somewhat carrying other student who simply don't seem to care."
"I've enjoyed the lectures, straightforward directions, and available help",
"I like the group work setting. I enjoy that I am allowed to choose my own teammate. In classes where I have no control over my teammate, I find it very difficult to hold my teammates accountable and thus my grade was affected. I also like the optional discussion/lab. I have learned a lot from the discussion while not having to worry about losing points during the process.",COGS108 is my favorite class this quarter. I really do not have much to complain at the moment. 
I've enjoyed everything for the most part. I feel like I'm learning a lot in regards to data science and the curriculum is interesting and engaging..,"What I've liked least is that the discussions feel really hard, while the homeworks feel pretty easy. I find myself lost often on the discussion."
"I enjoyed the amount of time we get to complete the assignments. A lot of us having a lot going on, so it's nice to not be on a time crunch for everything.","I mostly just dislike having to get up for class at 9am, but that's pretty much it. The coding is stressful, but it always is for is so it's nothing new."
The live lectures are really nice,Kind of wish there was more of a chance for interaction besides in our groups.
I enjoyed most about how we get to practice the skills that we need in Jupytr notebook. I feel like the assignments and discussion are helpful. ,The note in jupytr notebook are sometimes hard to read. 
I'm glad that i learned how to wrangle dataset and create colorful plots to find relationship between numbers and objects.,"I feel there're some functions of pandas and seaborn that i'm not familiar with, so i need to spend relatively longer time to learn in order to wrap them up and deal with discussion assignments. I also hope we could have more iclicker questions to practice."
"Although the most difficult, I have truly enjoyed the Assignments in the class so far. Although we've only done the assignments on the easier end, I've enjoyed tackling each problem, and have found myself surprised at how much I've learned! I really enjoy the open-ended type of questions that allow me to think about what strategies I can use - although the occasional hints are also extremely helpful! ","Occasionally, I feel as though the lectures utilize a few methods that could be a little more explained, especially for students (like me) who have minimal experience with Python - this particularly goes for Data Viz concepts. However, I understand this could be simply a lack of understanding on my part, but if we could somehow get a type of reference sheet with Data Viz functions and differences between packages, it'd be really helpful! "
Learning how to use the different python libraries.,I'm not sure if I dislike anything.
"For a class that has a coding prerequisite, I like how the professor is still taking the time to explain basic concepts instead of rushing right in. Without having a strong coding background, I am still able to follow along most of the times and the pacing allows for slow listeners and slow learners to not fall behind.","There are some aspects of the code being used that has not been explained or brought up in lecture, and I many times find myself googling very simple things but with different websites giving me different definitions. Would be helpful if there was some standardized reference sheet for syntax."
"Seeing how I can  use code to find the average  of my data or any other information I need from a data frame is something I have enjoyed. It is pretty neat that I do not have to go through all the data, but instead I can write a  a code that will fetch the data for me. ",The assignments. They can get very tedious and frustrating. It can become really difficult sometimes to understand why the code does not pass an assert or why it raises an error.
"I like that most of the material (python libraries, EDA, and ethics) isn't being made unnecessarily difficult. For me personally and where I'm gauging myself at, just having more exposure to and having the chance to practice these basics? is super helpful. It's encouraging to not be drowning in new material for once. Instead of stressing out learning new things, I get practice with important skills, something that I feel other courses don't offer.","I wish there were more optional readings/materials. More exposure would really help these topics ""settle"" for me!"
The thing I enjoyed most about COGS108 so far is learning about how to take csv files from websites and making them into datasets. The assignments are very fair,The discussion assignments are much more difficult and pretty vague. 
I enjoy programming in Python and trying to plot various data. I have a lot of experience in Python but I do not have that much experience in interpreting and cleaning data like this.,"The different types of plots have been something that I have not been enjoying. I have worked with different plots before in a stats class, but interpreting and nailing the difference between each of the different types is something I'm not entirely used to yet."
Working with my group members. Establishing new connections.,The weekly quizzes. I feel like they are not helpful.
I enjoy the format and the digestible information is great for people new to data science,"I think the topics are really interesting, but I would like more of an emphasis on how to perform a data science project with regards to a data sci project in industry. I think the project could be more rigorous as I would like to be able to use this project  as an opportunity to promote my data science skills"
Learning Python and web scraping.,So far I find the course very interesting and there isn't anything I particularly dislike.
Assignments,Discussions (they are very hard)
"I really like the group project and the structure involved in the deadlines and instructions. It feels very structured, and helps us really understand how to structure and communicate to be able to do a project with others and what deadlines are necessary","The weekly quizzes, cause there is always 1 question that I can never be sure what the answer is cause I'm a little confused on the phrasing of the question or which answer is being desired, so it just slightly bothers me"
I enjoy learning about the ability to make data models which I want to use later for Machine Learning,I do not like the constant stressing over one question
"Really learning about how to question data around the world and the fact that discussion labs, which are a bit more simple compared to assignments, can be used in substitute for final grade. ","Although this cannot be avoided, the fast pace of utilizing python is my only ""complaint"". Coming from a person who had never coded in python before, it was difficult learning the basics and applying learnings from class. Another inevitable fact is that I need to take this course this quarter, which happened to be a very challenging time for both education and my mental health. Other than that, I cannot think of any legitimate complaints!"
Lectures aren't so condensed that both conceptual and technical content (like specific functions) put together. They're also recorded and rarely go over time.,"I think technical contents aren't really covered in lectures, so it takes a lot more of our own research time to look up functions covered in the discussions. It would be a lot more helpful if lectures could cover at least some content for discussion as it could further reinforce our familiarity with functions that we would probably use in our final project."
"I think I've enjoyed importing and learning about different uses for python that apply toward data science and analysis in the real world. Prior to this, I had been wondering how exactly my Cogs degree would result in me being able to be qualified in analytical data, so now that we're doing it, it feels pretty satisfying.","I think what I've liked least about COGS 108 so far is our group project. With the pandemic and varying time zones it is very difficult for all of us to convene at a  specific time, and because of that some members feel pressured to put in work before meetings than they have to. This results at an inherent imbalance in work distribution, which doesn't necessarily occur out of any malicious intent, but rather self preservation. "
Working on the assignments - it's a nice way to get introduced to Python.,Working on the group project - I do not enjoy working in groups.
"I've largely enjoyed the teaching style. Professor Ellis is very clear with her explanations for the various different aspects of the course, especially when we go over python/pandas/etc.","The adjustment to using python has been a bit of a struggle, as I am largely used to using java. Yet, this isn't a great deterrent to the course as it is a learning opportunity."
nothing,"coding and doing the projects.  process of writing codes are too struggling for me, and the topic the project of my group is hard for me to fully understand. Honest talk, Sorry.."
Making beautiful viz!,Nothing really
HOMEWORK,
Working on the group project during this pandemic makes me feel like i am not alone and also going to the OH and chat with the tutors.,All the office hour is kinda early in my time zone.
learning about python because I didn't know much going in,"My project group, which seems to have abandoned me"
Doing the Discussion question,The process for figuring out the problems
I've enjoyed the Assignments the most. I feel like I'm learning as I walk through them.,"I don't learn a lot from the discussion sections, and it always feels like there's not enough time to cover everything. "
The clear lectures! They're easy to follow and introduces the topics well.,The discussion sections have been a bit vague for me and I often struggle with getting through it. 
Learning how to incorporate data science into our lives,The amount of coding :/
